ensembl,gene_name,uniprot
ENSG00000104324,CPQ,Q9Y646
ENSG00000109625,CPZ,Q66K79
ENSG00000151468,CCDC3,Q9BQI4
ENSG00000163394,CCKAR,P32238
ENSG00000172156,CCL11,P51671
ENSG00000213927,CCL27,Q9Y4X3
ENSG00000121797,CCRL2,O00421
ENSG00000156535,CD109,Q6YHK3
ENSG00000135218,CD36,P16671
ENSG00000010610,CD4,P01730
ENSG00000169442,CD52,P31358
ENSG00000013725,CD6,P30203
ENSG00000105369,CD79A,P11912
ENSG00000173762,CD7,P09564
ENSG00000110651,CD81,P60033
ENSG00000002586,CD99,P14209
ENSG00000010278,CD9,P21926
ENSG00000157211,CDCP2,Q5VXM1
ENSG00000148600,CDHR1,Q96JP9
ENSG00000074276,CDHR2,Q9BYE9
ENSG00000058091,CDK14,O94921
ENSG00000136698,CFC1,P0CG37
ENSG00000001626,CFTR,P13569
ENSG00000108561,C1QBP,Q07021
ENSG00000131094,C1QL1,O75973
ENSG00000172247,C1QTNF4,Q9BXJ3
ENSG00000223953,C1QTNF5,Q9BXJ0
ENSG00000139178,C1RL,Q9NZP8
ENSG00000158428,CATIP,Q7Z7H3
ENSG00000141668,CBLN2,Q8IUK8
ENSG00000128510,CPA4,Q9UI42
ENSG00000109472,CPE,P16870
ENSG00000144410,CPO,Q8IVL8
ENSG00000123171,CCDC70,Q6NSX1
ENSG00000162004,CCDC78,A2IDD5
ENSG00000091986,CCDC80,Q76M96
ENSG00000075429,CACNG5,Q9UF02
ENSG00000006606,CCL26,Q9Y258
ENSG00000278567,CCL3,P10147
ENSG00000277632,CCL3,P10147
ENSG00000274221,CCL3,P10147
ENSG00000184451,CCR10,P46092
ENSG00000158473,CD1D,P15813
ENSG00000090659,CD209,Q9NNX6
ENSG00000156738,MS4A1,P11836
ENSG00000150637,CD226,Q15762
ENSG00000026508,CD44,P16070
ENSG00000121594,CD80,P33681
ENSG00000163814,CDCP1,Q9H5V8
ENSG00000197622,CDC42SE1,Q9NRR8
ENSG00000196954,CASP4,P49662
ENSG00000170099,SERPINA6,P08185
ENSG00000277405,SERPINA6,P08185
ENSG00000174928,C3orf33,Q6P1S2
ENSG00000100147,CCDC134,Q9H6E4
ENSG00000182107,TMEM30B,Q3MIR4
ENSG00000262484,CCER2,I3L3R5
ENSG00000283099,CCER2,I3L3R5
ENSG00000075461,CACNG4,Q9UBN1
ENSG00000275528,CCL15,Q16663
ENSG00000275718,CCL15,Q16663
ENSG00000172724,CCL19,Q99731
ENSG00000276114,CCL23,P55773
ENSG00000274736,CCL23,P55773
ENSG00000108691,CCL2,P13500
ENSG00000126353,CCR7,P32248
ENSG00000173585,CCR9,P51686
ENSG00000243449,C4orf48,Q5BLP8
ENSG00000170458,CD14,P08571
ENSG00000177697,CD151,P48509
ENSG00000158481,CD1C,P29017
ENSG00000012124,CD22,P20273
ENSG00000178562,CD28,P10747
ENSG00000105383,CD33,P20138
ENSG00000174059,CD34,P28906
ENSG00000004468,CD38,P28907
ENSG00000117091,CD48,P09326
ENSG00000110448,CD5,P06127
ENSG00000135404,CD63,P08962
ENSG00000129226,CD68,P34810
ENSG00000112149,CD83,Q01151
ENSG00000178776,C5orf46,Q6UWT4
ENSG00000144119,C1QL2,Q7Z5L3
ENSG00000173918,C1QTNF1,Q9BXJ1
ENSG00000082196,C1QTNF3,Q9BXJ4
ENSG00000163145,C1QTNF7,Q9BXJ2
ENSG00000205863,C1QTNF9B,B2RNN3
ENSG00000171860,C3AR1,Q16581
ENSG00000123843,C4BPB,P20851
ENSG00000149654,CDH22,Q9UJ99
ENSG00000107159,CA9,Q16790
ENSG00000175868,CALCB,P10092
ENSG00000128595,CALU,O43852
ENSG00000130643,CALY,Q9NYX4
ENSG00000171302,CANT1,Q8WVQ1
ENSG00000079691,CARMIL1,Q5VZK9
ENSG00000126545,CSN1S1,P47710
ENSG00000177469,CAVIN1,Q6NZI2
ENSG00000102924,CBLN1,P23435
ENSG00000091704,CPA1,P15085
ENSG00000080618,CPB2,Q96IY4
ENSG00000142408,CACNG8,Q8WXS5
ENSG00000151882,CCL28,Q9NRJ3
ENSG00000187944,C2orf66,Q6UXQ4
ENSG00000158525,CPA5,Q8WXQ8
ENSG00000108582,CPD,O75976
ENSG00000120054,CPN1,P15169
ENSG00000169193,CCDC126,Q96EE4
ENSG00000183287,CCBE1,Q6UXH8
ENSG00000276409,CCL14,Q16627
ENSG00000277236,CCL14,Q16627
ENSG00000102970,CCL17,Q92583
ENSG00000115009,CCL20,P78556
ENSG00000102962,CCL22,O00626
ENSG00000106178,CCL24,O00175
ENSG00000108688,CCL7,P80098
ENSG00000108700,CCL8,P80075
ENSG00000204936,CD177,Q8N6Q3
ENSG00000134061,CD180,Q99467
ENSG00000158477,CD1A,P06126
ENSG00000158488,CD1E,P15812
ENSG00000103855,CD276,Q5ZPR3
ENSG00000116824,CD2,P06729
ENSG00000099834,CDHR5,Q9HBB8
ENSG00000137197,CDSN,Q15517
ENSG00000237123,CDSN,Q15517
ENSG00000237114,CDSN,Q15517
ENSG00000237165,CDSN,Q15517
ENSG00000047457,CP,P00450
ENSG00000163823,CCR1,P32246
ENSG00000183625,CCR3,P51677
ENSG00000183813,CCR4,P51679
ENSG00000160791,CCR5,P51681
ENSG00000112486,CCR6,P51684
ENSG00000179934,CCR8,P51685
ENSG00000198851,CD3E,P07766
ENSG00000073754,CD5L,O43866
ENSG00000176749,CDK5R1,Q15078
ENSG00000007312,CD79B,P40259
ENSG00000153563,CD8A,P01732
ENSG00000187492,CDHR4,A6H8M9
ENSG00000105352,CEACAM4,O75871
ENSG00000274131,CEACAM4,O75871
ENSG00000007306,CEACAM7,Q14002
ENSG00000139610,CELA1,Q9UNI1
ENSG00000143126,CELSR2,Q9HCU4
ENSG00000241253,CFB,P00751
ENSG00000239754,CFB,P00751
ENSG00000242335,CFB,P00751
ENSG00000243570,CFB,P00751
ENSG00000243649,CFB,P00751
ENSG00000241534,CFB,P00751
ENSG00000267631,CGB1,A6NKQ9
ENSG00000196337,CGB7,P0DN87
ENSG00000133048,CHI3L1,P36222
ENSG00000136457,CHAD,O15335
ENSG00000204116,CHIC1,Q5VXU3
ENSG00000173372,C1QA,P02745
ENSG00000165985,C1QL3,Q5VWW1
ENSG00000123838,C4BPA,P04003
ENSG00000134830,C5AR2,Q9P296
ENSG00000004948,CALCR,P30988
ENSG00000014216,CAPN1,P07384
ENSG00000135222,CSN2,P05814
ENSG00000283030,CSN2,P05814
ENSG00000036828,CASR,P41180
ENSG00000153002,CPB1,P15086
ENSG00000112697,TMEM30A,Q9NV96
ENSG00000187094,CCK,P06307
ENSG00000181374,CCL13,Q99616
ENSG00000275152,CCL16,O15467
ENSG00000275095,CCL16,O15467
ENSG00000131142,CCL25,O15444
ENSG00000275302,CCL4,P13236
ENSG00000275824,CCL4,P13236
ENSG00000277943,CCL4,P13236
ENSG00000271503,CCL5,P13501
ENSG00000274233,CCL5,P13501
ENSG00000108100,CCNY,Q8ND76
ENSG00000278167,CCL18,P55774
ENSG00000278006,CCL18,P55774
ENSG00000275385,CCL18,P55774
ENSG00000108702,CCL1,P22362
ENSG00000137077,CCL21,O00585
ENSG00000121807,CCR2,P41597
ENSG00000174792,C4orf26,Q17RF5
ENSG00000170017,ALCAM,Q13740
ENSG00000241399,CD302,Q8IX05
ENSG00000167775,CD320,Q9NPF0
ENSG00000167286,CD3D,P04234
ENSG00000160654,CD3G,P09693
ENSG00000198821,CD247,P20963
ENSG00000102245,CD40LG,P29965
ENSG00000196776,CD47,Q08722
ENSG00000143119,CD53,P19397
ENSG00000085063,CD59,P13987
ENSG00000171450,CDK5R2,Q13319
ENSG00000110848,CD69,Q07108
ENSG00000085117,CD82,P27701
ENSG00000114013,CD86,P42081
ENSG00000172116,CD8B,P10966
ENSG00000123146,ADGRE5,P48960
ENSG00000103502,CDIPT,O14735
ENSG00000164885,CDK5,Q00535
ENSG00000147869,CER1,O95813
ENSG00000181378,CFAP65,Q6ZU64
ENSG00000110395,CBL,P22681
ENSG00000135678,CPM,P14384
ENSG00000276070,CCL4L2,Q8NHW4
ENSG00000282604,CCL4L2,Q8NHW4
ENSG00000276125,CCL4L2,Q8NHW4
ENSG00000275313,CCL4L2,Q8NHW4
ENSG00000177455,CD19,P15391
ENSG00000158485,CD1B,P29016
ENSG00000122223,CD244,Q9BZW8
ENSG00000139193,CD27,P26842
ENSG00000128536,CDHR3,Q6ZTQ4
ENSG00000102225,CDK16,Q00536
ENSG00000007129,CEACAM21,Q3KPI0
ENSG00000278565,CEACAM21,Q3KPI0
ENSG00000197766,CFD,P00746
ENSG00000274619,CFD,P00746
ENSG00000000971,CFH,P08603
ENSG00000152093,CFC1B,P0CG36
ENSG00000165131,C7orf34,Q96L11
ENSG00000088992,TESC,Q96BS2
ENSG00000138615,CILP,O75339
ENSG00000064886,CHI3L2,Q15782
ENSG00000114200,BCHE,P06276
ENSG00000136425,CIB2,O75838
ENSG00000111412,C12orf49,Q9H741
ENSG00000157322,CLEC18A,A5D8T8
ENSG00000157335,CLEC18C,Q8NCF0
ENSG00000100604,CHGA,P10645
ENSG00000276781,CHGA,P10645
ENSG00000143786,CNIH3,Q8TBE1
ENSG00000168763,CNNM3,Q8NE01
ENSG00000188822,CNR2,P34972
ENSG00000142156,COL6A1,P12109
ENSG00000142173,COL6A2,P12110
ENSG00000206384,COL6A6,A6NMZ7
ENSG00000092758,COL9A3,Q14050
ENSG00000185127,C6orf120,Q7Z4R8
ENSG00000205403,CFI,P05156
ENSG00000177830,CHID1,Q9BWS9
ENSG00000090539,CHRD,Q9H2X0
ENSG00000147894,C9orf72,Q96LT7
ENSG00000152207,CYSLTR2,Q9NS75
ENSG00000079101,CLUL1,Q15846
ENSG00000136110,CNMD,O75829
ENSG00000242689,CNTF,P26441
ENSG00000018236,CNTN1,Q12860
ENSG00000113805,CNTN3,Q9P232
ENSG00000144619,CNTN4,Q8IWV2
ENSG00000149972,CNTN5,O94779
ENSG00000134115,CNTN6,Q9UQ52
ENSG00000152910,CNTNAP4,Q9C0A0
ENSG00000187498,COL4A1,P02462
ENSG00000134871,COL4A2,P08572
ENSG00000039537,C6,P13671
ENSG00000112936,C7,P10643
ENSG00000144810,COL8A1,P27658
ENSG00000157131,C8A,P07357
ENSG00000021852,C8B,P07358
ENSG00000111799,COL12A1,Q99715
ENSG00000100802,C14orf93,Q9H972
ENSG00000158158,CNNM4,Q6P4Q7
ENSG00000139219,COL2A1,P02458
ENSG00000166278,C2,P06681
ENSG00000204364,C2,P06681
ENSG00000206372,C2,P06681
ENSG00000235696,C2,P06681
ENSG00000231543,C2,P06681
ENSG00000235017,C2,P06681
ENSG00000226560,C2,P06681
ENSG00000168542,COL3A1,P02461
ENSG00000125730,C3,P01024
ENSG00000197565,COL4A6,Q14031
ENSG00000206340,C4A,P0C0L4
ENSG00000227746,C4A,P0C0L4
ENSG00000244731,C4A,P0C0L4
ENSG00000080573,COL5A3,P25940
ENSG00000106804,C5,P01031
ENSG00000049089,COL9A2,Q14055
ENSG00000227801,COL11A2,P13942
ENSG00000206290,COL11A2,P13942
ENSG00000204248,COL11A2,P13942
ENSG00000235708,COL11A2,P13942
ENSG00000230930,COL11A2,P13942
ENSG00000172757,CFL1,P23528
ENSG00000184374,COLEC10,Q9Y6Z7
ENSG00000196748,CLPSL2,Q6UWE3
ENSG00000171502,COL24A1,Q17RW2
ENSG00000122218,COPA,P53621
ENSG00000110880,CORO1C,Q9ULV4
ENSG00000196739,COL27A1,Q8IZC6
ENSG00000145244,CORIN,Q9Y5Q5
ENSG00000188373,C10orf99,Q6UWK7
ENSG00000171067,C11orf24,Q96F05
ENSG00000163539,CLASP2,O75122
ENSG00000198178,CLEC4C,Q8WTT0
ENSG00000182566,CLEC4G,Q6UXB4
ENSG00000116031,CD207,Q9UJ71
ENSG00000016490,CLCA1,A8K7I4
ENSG00000137975,CLCA2,Q9UQC9
ENSG00000184293,CLECL1,Q8IZS7
ENSG00000188037,CLCN1,P35523
ENSG00000114859,CLCN2,P51788
ENSG00000164007,CLDN19,Q8N6F1
ENSG00000171217,CLDN20,P56880
ENSG00000165215,CLDN3,O15551
ENSG00000181885,CLDN7,O95471
ENSG00000156284,CLDN8,P56748
ENSG00000105270,CLIP3,Q96DZ5
ENSG00000161649,CD300LG,Q6UXG3
ENSG00000120885,CLU,P10909
ENSG00000092009,CMA1,P23946
ENSG00000174600,CMKLR1,Q99788
ENSG00000166997,CNPY4,Q8N129
ENSG00000162852,CNST,Q6PJW8
ENSG00000184144,CNTN2,Q02246
ENSG00000108821,COL1A1,P02452
ENSG00000164692,COL1A2,P08123
ENSG00000169031,COL4A3,Q01955
ENSG00000163359,COL6A3,P12111
ENSG00000171812,COL8A2,P25067
ENSG00000082293,COL19A1,Q14993
ENSG00000118004,COLEC11,Q9BWP8
ENSG00000204140,CLPSL1,A2RUU4
ENSG00000169436,COL22A1,Q8NFW1
ENSG00000133063,CHIT1,Q13231
ENSG00000186354,C9orf47,Q6ZRZ4
ENSG00000152672,CLEC4F,Q8N1N0
ENSG00000104938,CLEC4M,Q9H2X3
ENSG00000205846,CLEC6A,Q6EIG7
ENSG00000106404,CLDN15,P56746
ENSG00000113946,CLDN16,Q9Y5I7
ENSG00000228607,CLDN25,C9JDP6
ENSG00000165376,CLDN2,P57739
ENSG00000189143,CLDN4,O14493
ENSG00000186074,CD300LF,Q8TDQ1
ENSG00000178789,CD300LB,A8K4G0
ENSG00000166250,CLMP,Q9H6B4
ENSG00000163646,CLRN1,P58418
ENSG00000173198,CYSLTR1,Q9Y271
ENSG00000118432,CNR1,P21554
ENSG00000122756,CNTFR,P26992
ENSG00000108797,CNTNAP1,P78357
ENSG00000174469,CNTNAP2,Q9UHC6
ENSG00000278728,CNTNAP2,Q9UHC6
ENSG00000106714,CNTNAP3,Q9BZ76
ENSG00000155052,CNTNAP5,Q8WYK1
ENSG00000189227,C15orf61,A6NNL5
ENSG00000064309,CDON,Q4KMG0
ENSG00000138028,CGREF1,Q99674
ENSG00000187446,CHP1,Q99653
ENSG00000166869,CHP2,O43745
ENSG00000131873,CHSY1,Q86X52
ENSG00000154080,CHST9,Q7L1S5
ENSG00000185043,CIB1,Q99828
ENSG00000125733,TRIP10,Q15642
ENSG00000162545,CAMK2N1,Q7Z7J9
ENSG00000277796,CCL3L1,P16619
ENSG00000277768,CCL3L3,P16619
ENSG00000276085,CCL3L3,P16619
ENSG00000277336,CCL3L3,P16619
ENSG00000258227,CLEC5A,Q9NY25
ENSG00000016602,CLCA4,Q14CN2
ENSG00000204345,CD300LD,Q6UXZ3
ENSG00000167850,CD300C,Q08708
ENSG00000134216,CHIA,Q9BZP6
ENSG00000109220,CHIC2,Q9UKJ5
ENSG00000140839,CLEC18B,Q6UXF7
ENSG00000261210,CLEC19A,Q6UXS0
ENSG00000132514,CLEC10A,Q8IUN9
ENSG00000184908,CLCNKB,P51801
ENSG00000171365,CLCN5,P51795
ENSG00000253958,CLDN23,Q96B33
ENSG00000184113,CLDN5,O00501
ENSG00000184697,CLDN6,P56747
ENSG00000213937,CLDN9,O95484
ENSG00000213719,CLIC1,O00299
ENSG00000206394,CLIC1,O00299
ENSG00000226248,CLIC1,O00299
ENSG00000226417,CLIC1,O00299
ENSG00000226651,CLIC1,O00299
ENSG00000223639,CLIC1,O00299
ENSG00000230685,CLIC1,O00299
ENSG00000186407,CD300E,Q496F6
ENSG00000167851,CD300A,Q9UGN4
ENSG00000070831,CDC42,P60953
ENSG00000185267,CDNF,Q49AH0
ENSG00000186567,CEACAM19,Q7Z692
ENSG00000079385,CEACAM1,P13688
ENSG00000086548,CEACAM6,P40199
ENSG00000142615,CELA2A,P08217
ENSG00000215704,CELA2B,P08218
ENSG00000103888,CEMIP,Q8WUJ3
ENSG00000087237,CETP,P11597
ENSG00000204542,C6orf15,Q6UXA7
ENSG00000206461,C6orf15,Q6UXA7
ENSG00000231624,C6orf15,Q6UXA7
ENSG00000225543,C6orf15,Q6UXA7
ENSG00000224105,C6orf15,Q6UXA7
ENSG00000229432,C6orf15,Q6UXA7
ENSG00000189052,CGB5,P0DN86
ENSG00000104827,CGB3,P0DN86
ENSG00000213030,CGB8,P0DN86
ENSG00000174370,C11orf45,Q8TAV5
ENSG00000136026,CKAP4,Q07065
ENSG00000217555,CKLF,Q9UBR5
ENSG00000105472,CLEC11A,Q9Y240
ENSG00000188393,CLEC2A,Q6UVW9
ENSG00000069493,CLEC2D,Q9UHP7
ENSG00000213892,CEACAM16,Q2WEN9
ENSG00000170956,CEACAM3,P40198
ENSG00000105388,CEACAM5,P06731
ENSG00000124469,CEACAM8,P31997
ENSG00000186493,C5orf38,Q86SI9
ENSG00000075275,CELSR1,Q9NYQ6
ENSG00000008300,CELSR3,Q9NYQ7
ENSG00000100399,CHADL,Q6NUI6
ENSG00000160161,CILP2,Q8IUL8
ENSG00000204954,C12orf73,Q69YU5
ENSG00000172322,CLEC12A,Q5QGZ9
ENSG00000165682,CLEC1B,Q9P126
ENSG00000197992,CLEC9A,Q6UXN8
ENSG00000175505,CLCF1,Q9UBD9
ENSG00000156282,CLDN17,P56750
ENSG00000066405,CLDN18,P56856
ENSG00000234469,CLDN34,H7C241
ENSG00000060718,COL11A1,P12107
ENSG00000105664,COMP,P49747
ENSG00000107864,CPEB3,Q8NE35
ENSG00000113742,CPEB4,Q17RY0
ENSG00000167193,CRK,P46108
ENSG00000006016,CRLF1,O75462
ENSG00000134376,CRB1,P82279
ENSG00000123500,COL10A1,Q03692
ENSG00000106078,COBL,O75128
ENSG00000197467,COL13A1,Q5TAT6
ENSG00000204291,COL15A1,P39059
ENSG00000160963,COL26A1,Q96A83
ENSG00000214078,CPNE1,Q99829
ENSG00000160111,CPAMD8,Q8IZJ3
ENSG00000178772,CPN2,P22792
ENSG00000175874,CREG2,Q8IUH2
ENSG00000120088,CRHR1,P34998
ENSG00000278232,CRHR1,P34998
ENSG00000276191,CRHR1,P34998
ENSG00000132693,CRP,P02741
ENSG00000130545,CRB3,Q9BUF7
ENSG00000198223,CSF2RA,P15509
ENSG00000119535,CSF3R,Q99062
ENSG00000121904,CSMD2,Q7Z408
ENSG00000164796,CSMD3,Q7Z407
ENSG00000173546,CSPG4,Q6UVK1
ENSG00000139514,SLC7A1,P30825
ENSG00000003989,SLC7A2,P52569
ENSG00000165349,SLC7A3,Q8WY07
ENSG00000168928,CTRB2,Q6GPI1
ENSG00000107611,CUBN,O60494
ENSG00000150656,CNDP1,Q96KN2
ENSG00000174871,CNIH2,Q6PI25
ENSG00000119946,CNNM1,Q9NRU3
ENSG00000148842,CNNM2,Q9H8M5
ENSG00000081052,COL4A4,P53420
ENSG00000188153,COL4A5,P29400
ENSG00000228454,C4B,P0C0L5
ENSG00000228267,C4B,P0C0L5
ENSG00000224389,C4B,P0C0L5
ENSG00000233312,C4B_2,P0C0L5
ENSG00000236625,C4B,P0C0L5
ENSG00000130635,COL5A1,P20908
ENSG00000204262,COL5A2,P05997
ENSG00000172752,COL6A5,A8TX70
ENSG00000114270,COL7A1,Q02388
ENSG00000176919,C8G,P07360
ENSG00000112280,COL9A1,P20849
ENSG00000113600,C9,P02748
ENSG00000100473,COCH,O43405
ENSG00000187955,COL14A1,Q05707
ENSG00000182871,COL18A1,P39060
ENSG00000101203,COL20A1,Q9P218
ENSG00000124749,COL21A1,Q96P44
ENSG00000137392,CLPS,P04118
ENSG00000234776,C11orf94,C9JXX5
ENSG00000256660,CLEC12B,Q2HXU8
ENSG00000110852,CLEC2B,Q92478
ENSG00000111729,CLEC4A,Q9UMR7
ENSG00000166527,CLEC4D,Q8WXI8
ENSG00000166523,CLEC4E,Q9ULY5
ENSG00000172243,CLEC7A,Q9BXN2
ENSG00000134873,CLDN10,P78369
ENSG00000013297,CLDN11,O75508
ENSG00000157224,CLDN12,P56749
ENSG00000159261,CLDN14,O95500
ENSG00000163347,CLDN1,O95832
ENSG00000177300,CLDN22,Q8N7P3
ENSG00000185758,CLDN24,A6NM45
ENSG00000169504,CLIC4,Q9Y696
ENSG00000159212,CLIC6,Q96NY7
ENSG00000158270,COLEC12,Q5KU26
ENSG00000115138,POMC,P01189
ENSG00000093010,COMT,P21964
ENSG00000136868,SLC31A1,O15431
ENSG00000215018,COL28A1,Q2UY09
ENSG00000054938,CHRDL2,Q6WN34
ENSG00000124490,CRISP2,P16562
ENSG00000096006,CRISP3,P54108
ENSG00000038427,VCAN,P13611
ENSG00000158258,CLSTN2,Q9H4D0
ENSG00000168036,CTNNB1,P35222
ENSG00000119326,CTNNAL1,Q9UBT7
ENSG00000175294,CATSPER1,Q8NEC5
ENSG00000152661,GJA1,P17302
ENSG00000121743,GJA3,Q9Y6H8
ENSG00000169562,GJB1,P08034
ENSG00000163734,CXCL3,P19876
ENSG00000163735,CXCL5,P42830
ENSG00000163736,PPBP,P02775
ENSG00000180871,CXCR2,P25025
ENSG00000169248,CXCL11,O14625
ENSG00000145824,CXCL14,O95715
ENSG00000100055,CYTH4,Q9UIA0
ENSG00000123815,COQ8B,Q96D53
ENSG00000073067,CYP2W1,Q8TAV3
ENSG00000085719,CPNE3,O75131
ENSG00000121898,CPXM2,Q8N436
ENSG00000108342,CSF3,P09919
ENSG00000103653,CSK,P41240
ENSG00000114646,CSPG5,O95196
ENSG00000125815,CST8,O60676
ENSG00000101435,CST9L,Q9H4G1
ENSG00000164932,CTHRC1,Q96CG8
ENSG00000163599,CTLA4,P16410
ENSG00000166762,CATSPER2,Q96P56
ENSG00000184208,C22orf46,C9J442
ENSG00000189280,GJB5,O95377
ENSG00000203733,GJE1,A6NN92
ENSG00000169245,CXCL10,P02778
ENSG00000156234,CXCL13,O43927
ENSG00000189377,CXCL17,Q6UXB2
ENSG00000051523,CYBA,P13498
ENSG00000214575,CPEB1,Q9BZB8
ENSG00000277445,CPEB1,Q9BZB8
ENSG00000140848,CPNE2,Q96FN4
ENSG00000178773,CPNE7,Q9UBL6
ENSG00000214226,C17orf67,Q0P5P2
ENSG00000106113,CRHR2,Q13324
ENSG00000145708,CRHBP,P24387
ENSG00000121005,CRISPLD1,Q9H336
ENSG00000101074,R3HDML,Q9H3Y0
ENSG00000164400,CSF2,P04141
ENSG00000136488,CSH1,P0DML2
ENSG00000213218,CSH2,P0DML3
ENSG00000147044,CASK,O14936
ENSG00000173335,CST9,Q5W186
ENSG00000125823,CSTL1,Q9H114
ENSG00000044115,CTNNA1,P35221
ENSG00000066032,CTNNA2,P26232
ENSG00000040531,CTNS,O60931
ENSG00000152705,CATSPER3,Q86XQ3
ENSG00000100884,CPNE6,O95741
ENSG00000256812,CAPNS2,Q96L46
ENSG00000088882,CPXM1,Q96SM3
ENSG00000171444,MCC,P23508
ENSG00000143162,CREG1,O75629
ENSG00000147571,CRH,P06850
ENSG00000103196,CRISPLD2,Q9H0B8
ENSG00000118523,CTGF,P29279
ENSG00000070214,SLC44A1,Q8WWI5
ENSG00000084636,COL16A1,Q07092
ENSG00000065618,COL17A1,Q9UMD9
ENSG00000050767,COL23A1,Q86Y22
ENSG00000129083,COPB1,P53618
ENSG00000241563,CORT,O00230
ENSG00000153446,C16orf89,Q6UX73
ENSG00000205755,CRLF2,Q9HC73
ENSG00000109943,CRTAM,O95727
ENSG00000170275,CRTAP,O75718
ENSG00000184371,CSF1,P09603
ENSG00000126247,CAPNS1,P04632
ENSG00000224051,CPTP,Q5TA50
ENSG00000187997,C17orf99,Q6UX52
ENSG00000197721,CR1L,Q2VPA4
ENSG00000203710,CR1,P17927
ENSG00000117322,CR2,P20023
ENSG00000095713,CRTAC1,Q9NQ79
ENSG00000115041,KCNIP3,Q9Y2W7
ENSG00000204414,CSHL1,Q14406
ENSG00000008256,CYTH3,O43739
ENSG00000101439,CST3,P01034
ENSG00000077984,CST7,O76096
ENSG00000170891,CYTL1,Q9NRR1
ENSG00000170373,CST1,P01037
ENSG00000131068,DEFB118,Q96PH6
ENSG00000178591,DEFB125,Q8N687
ENSG00000205883,DEFB135,Q30KP9
ENSG00000161634,DCD,P81605
ENSG00000105443,CYTH2,Q99418
ENSG00000142871,CYR61,O00622
ENSG00000101441,CST4,P01036
ENSG00000184276,DEFB108B,Q8NET1
ENSG00000215547,DEFB115,Q30KQ5
ENSG00000214643,DEFB133,Q30KQ1
ENSG00000158856,DMTN,Q08495
ENSG00000137145,DENND4C,Q5VZ89
ENSG00000143196,DPT,Q07507
ENSG00000170367,CST5,P28325
ENSG00000196352,CD55,P08174
ENSG00000088782,DEFB127,Q9H1M4
ENSG00000125903,DEFB129,Q9H1M3
ENSG00000186458,DEFB132,Q7Z7B7
ENSG00000187323,DCC,P43146
ENSG00000164822,DEFA6,Q01524
ENSG00000164825,DEFB1,P60022
ENSG00000023892,DEF6,Q9H4E7
ENSG00000176782,DEFB104A,Q8WTQ1
ENSG00000177023,DEFB104B,Q8WTQ1
ENSG00000277006,DEFB104B,Q8WTQ1
ENSG00000186146,DEFB131A,P59861
ENSG00000136848,DAB2IP,Q5VWQ8
ENSG00000101938,CHRDL1,Q9BU40
ENSG00000150938,CRIM1,Q9NZV1
ENSG00000148204,CRB2,Q5IJ48
ENSG00000182578,CSF1R,P07333
ENSG00000174898,CATSPERD,Q86XM0
ENSG00000135355,GJA10,Q969M2
ENSG00000121634,GJA8,P48165
ENSG00000154639,CXADR,P78310
ENSG00000188910,GJB3,O75712
ENSG00000164411,GJB7,Q6PEY0
ENSG00000163464,CXCR1,P25024
ENSG00000121966,CXCR4,P61073
ENSG00000177291,GJD4,Q96KN9
ENSG00000176402,GJC3,Q8NFK1
ENSG00000165168,CYBB,P04839
ENSG00000108669,CYTH1,Q15438
ENSG00000083799,CYLD,Q9NQC7
ENSG00000205795,CYS1,Q717R9
ENSG00000214642,DEFB113,Q30KQ7
ENSG00000177684,DEFB114,Q30KQ6
ENSG00000180483,DEFB119,Q8N690
ENSG00000184164,CRELD2,Q6UXH1
ENSG00000150281,CTF1,Q16619
ENSG00000198561,CTNND1,O60716
ENSG00000188782,CATSPER4,Q7RTX7
ENSG00000187513,GJA4,P35212
ENSG00000265107,GJA5,P36382
ENSG00000165474,GJB2,P29033
ENSG00000189433,GJB4,Q9NTQ9
ENSG00000081041,CXCL2,P19875
ENSG00000124875,CXCL6,P80162
ENSG00000138755,CXCL9,Q07325
ENSG00000159248,GJD2,Q9UKL4
ENSG00000183153,GJD3,Q8N144
ENSG00000182963,GJC1,P36383
ENSG00000198835,GJC2,Q5T442
ENSG00000161921,CXCL16,Q9H2A7
ENSG00000170369,CST2,P09228
ENSG00000173402,DAG1,Q14118
ENSG00000179284,DAND5,Q8N907
ENSG00000171603,CLSTN1,O94985
ENSG00000139182,CLSTN3,Q9BQT9
ENSG00000168925,CTRB1,P17538
ENSG00000138161,CUZD1,Q86UP6
ENSG00000168329,CX3CR1,P49238
ENSG00000131233,GJA9,P57773
ENSG00000121742,GJB6,O95452
ENSG00000186810,CXCR3,P49682
ENSG00000160683,CXCR5,P32302
ENSG00000172215,CXCR6,O00574
ENSG00000176797,DEFB103A,P81534
ENSG00000177243,DEFB103B,P81534
ENSG00000273641,DEFB103B,P81534
ENSG00000186562,DEFB105A,Q8NG35
ENSG00000186599,DEFB105B,Q8NG35
ENSG00000274729,DEFB105B,Q8NG35
ENSG00000186579,DEFB106A,Q8N104
ENSG00000187082,DEFB106B,Q8N104
ENSG00000275794,DEFB106B,Q8N104
ENSG00000175315,CST6,Q15828
ENSG00000186572,DEFB107A,Q8IZN7
ENSG00000198129,DEFB107B,Q8IZN7
ENSG00000277530,DEFB107B,Q8IZN7
ENSG00000203970,DEFB110,Q30KQ9
ENSG00000215545,DEFB116,Q30KQ4
ENSG00000204548,DEFB121,Q5J5C9
ENSG00000137332,DDR1,Q08345
