human_uniprot,human_ENSEMBL,human_gene_name,mouse_uniprot,mouse_ENSEMBL,mouse_gene_name,transmembrane,secretion,peripheral
Q16625,ENSG00000197822,OCLN,Q61146,ENSMUSG00000021638,Ocln,1,0,0
P78380,ENSG00000173391,OLR1,Q9EQ09,ENSMUSG00000030162,Olr1,1,0,0
P23515,ENSG00000126861,OMG,NA,ENSMUSG00000049612,NA,1,0,0
Q96PE5,ENSG00000197430,OPALIN,Q7M750,ENSMUSG00000050121,Opalin,1,0,0
Q14982,ENSG00000183715,OPCML,NA,ENSMUSG00000062257,NA,1,0,0
Q9UHM6,ENSG00000122375,OPN4 MOP,Q9QXZ9,ENSMUSG00000021799,Opn4,1,0,0
P41143,ENSG00000116329,OPRD1,P32300,ENSMUSG00000050511,Oprd1,1,0,0
P41145,ENSG00000082556,OPRK1,P33534,ENSMUSG00000025905,Oprk1,1,0,0
P41146,ENSG00000125510,OPRL1,P35377,ENSMUSG00000027584,Oprl1,1,0,0
P35372,ENSG00000112038,OPRM1,P42866,ENSMUSG00000000766,Oprm1,1,0,0
Q8IYS5,ENSG00000275736,OSCAR,NA,NA,NA,1,0,0
Q8WVF1,ENSG00000116885,OSCP1 C1orf102 NOR1,Q8BHW2,ENSMUSG00000042616,Oscp1,1,0,0
Q7RTW8,ENSG00000155719,OTOA,Q8K561,ENSMUSG00000034990,Otoa,1,0,0
Q9HC10,ENSG00000115155,OTOF,NA,ENSMUSG00000062372,NA,1,0,0
Q8TDS5,ENSG00000162881,OXER1,NA,NA,NA,1,0,0
Q96P68,ENSG00000165621,OXGR1,Q6IYF8,ENSMUSG00000044819,Oxgr1,1,0,0
P30559,ENSG00000180914,OXTR,P97926,ENSMUSG00000049112,Oxtr,1,0,0
Q9UBL9,ENSG00000187848,P2RX2,Q8K3P1,ENSMUSG00000029503,P2rx2,1,0,0
Q99572,ENSG00000089041,P2RX7,Q9Z1M0,ENSMUSG00000029468,P2rx7,1,0,0
P47900,ENSG00000169860,P2RY1,P49650,ENSMUSG00000027765,P2ry1,1,0,0
O00398,ENSG00000078589,P2RY10,Q8BFU7,ENSMUSG00000050921,P2ry10,1,0,0
Q96G91,ENSG00000244165,P2RY11,NA,NA,NA,1,0,0
Q9H244,ENSG00000169313,P2RY12,Q9CPV9,ENSMUSG00000036353,P2ry12,1,0,0
Q9BPV8,ENSG00000181631,P2RY13,Q9D8I2,ENSMUSG00000036362,P2ry13,1,0,0
Q15391,ENSG00000174944,P2RY14,Q9ESG6,ENSMUSG00000036381,P2ry14,1,0,0
P41231,ENSG00000175591,P2RY2,NA,ENSMUSG00000032860,NA,1,0,0
P51582,ENSG00000186912,P2RY4,Q9JJS7,ENSMUSG00000044359,P2ry4,1,0,0
Q15077,ENSG00000171631,P2RY6,Q9ERK9,ENSMUSG00000048779,P2ry6,1,0,0
Q86VZ1,ENSG00000182162,P2RY8,NA,NA,NA,1,0,0
Q9NWQ8,ENSG00000076641,PAG1 CBP PAG,Q3U1F9,ENSMUSG00000027508,Pag1,1,0,0
Q13153,ENSG00000149269,PAK1,NA,ENSMUSG00000030774,NA,1,0,0
O75781,ENSG00000099864,PALM KIAA0270,Q9Z0P4,ENSMUSG00000035863,Palm,1,0,0
Q8IXS6,ENSG00000243444,PALM2,Q8BR92,ENSMUSG00000090053,Palm2,1,0,0
A6NDB9,ENSG00000187867,PALM3,A2TJV2,ENSMUSG00000047986,Palm3,1,0,0
Q96RD7,ENSG00000110218,PANX1,Q9JIP4,ENSMUSG00000031934,Panx1,1,0,0
Q96RD6,ENSG00000073150,PANX2,Q6IMP4,ENSMUSG00000058441,Panx2,1,0,0
Q96QZ0,ENSG00000154143,PANX3,Q8CEG0,ENSMUSG00000011118,Panx3,1,0,0
Q86WK9,ENSG00000182749,PAQR7,Q80ZE4,ENSMUSG00000037348,Paqr7,1,0,0
Q8TEZ7,ENSG00000170915,PAQR8,Q80ZE5,ENSMUSG00000025931,Paqr8,1,0,0
Q8TEW0,ENSG00000148498,PARD3,Q99NH2,ENSMUSG00000025812,Pard3,1,0,0
Q9NPB6,ENSG00000102981,PARD6A PAR6A,Q9Z101,ENSMUSG00000005699,Pard6a,1,0,0
Q9BYG5,ENSG00000124171,PARD6B PAR6B,Q9JK83,ENSMUSG00000044641,Pard6b,1,0,0
Q9BYG4,ENSG00000178184,PARD6G PAR6G,Q9JK84,ENSMUSG00000056214,Pard6g,1,0,0
Q99497,ENSG00000116288,PARK7,Q99LX0,ENSMUSG00000028964,Park7,1,0,0
Q6UWI2,ENSG00000169116,PARM1,Q923D3,ENSMUSG00000034981,Parm1,1,0,0
Q08174,ENSG00000156453,PCDH1,NA,ENSMUSG00000051375,NA,1,0,0
Q9P2E7,ENSG00000138650,PCDH10,NA,ENSMUSG00000049100,NA,1,0,0
Q9BZA7,ENSG00000102290,PCDH11X,NA,ENSMUSG00000034755,NA,1,0,0
Q9BZA8,ENSG00000099715,PCDH11Y,NA,ENSMUSG00000034755,NA,1,0,0
Q9NPG4,ENSG00000113555,PCDH12,O55134,ENSMUSG00000024440,Pcdh12,1,0,0
Q96QU1,ENSG00000150275,PCDH15,Q99PJ1,ENSMUSG00000052613,Pcdh15,1,0,0
O14917,ENSG00000118946,PCDH17,NA,ENSMUSG00000035566,NA,1,0,0
Q9HCL0,ENSG00000189184,PCDH18,Q8VHR0,ENSMUSG00000037892,Pcdh18,1,0,0
Q8TAB3,ENSG00000165194,PCDH19,Q80TF3,ENSMUSG00000051323,Pcdh19,1,0,0
Q8N6Y1,ENSG00000280165,PCDH20,Q8BIZ0,ENSMUSG00000050505,Pcdh20,1,0,0
O60245,ENSG00000169851,PCDH7,NA,ENSMUSG00000029108,NA,1,0,0
O95206,ENSG00000136099,PCDH8,Q7TSK3,ENSMUSG00000036422,Pcdh8,1,0,0
Q9HC56,ENSG00000184226,PCDH9,NA,ENSMUSG00000055421,NA,1,0,0
Q9Y5I3,ENSG00000204970,PCDHA1,NA,ENSMUSG00000103442,NA,1,0,0
Q9Y5I2,ENSG00000250120,PCDHA10,Q91Y11,ENSMUSG00000103770,Pcdha9,1,0,0
Q9Y5I1,ENSG00000249158,PCDHA11,NA,ENSMUSG00000102206,NA,1,0,0
Q9UN75,ENSG00000251664,PCDHA12,NA,NA,NA,1,0,0
Q9Y5I0,ENSG00000239389,PCDHA13,NA,ENSMUSG00000103310,NA,1,0,0
Q9Y5H9,ENSG00000204969,PCDHA2,NA,ENSMUSG00000104148,NA,1,0,0
Q9Y5H8,ENSG00000255408,PCDHA3,NA,ENSMUSG00000102312,NA,1,0,0
Q9UN74,ENSG00000204967,PCDHA4,O88689,ENSMUSG00000103458,Gm42416,1,0,0
Q9UN74,ENSG00000204967,PCDHA4,O88689,ENSMUSG00000104252,Pcdha4,1,0,0
Q9Y5H7,ENSG00000204965,PCDHA5,NA,ENSMUSG00000103092,NA,1,0,0
Q9UN73,ENSG00000081842,PCDHA6,NA,ENSMUSG00000103707,NA,1,0,0
Q9UN72,ENSG00000204963,PCDHA7,Q91Y20,ENSMUSG00000007440,Pcdha11,1,0,0
Q9UN72,ENSG00000204963,PCDHA7,NA,ENSMUSG00000103800,NA,1,0,0
Q9UN72,ENSG00000204963,PCDHA7,Q91Y13,ENSMUSG00000104318,Pcdha7,1,0,0
Q9Y5H6,ENSG00000204962,PCDHA8,NA,ENSMUSG00000103707,NA,1,0,0
Q9Y5H5,ENSG00000204961,PCDHA9,Q91Y20,ENSMUSG00000007440,Pcdha11,1,0,0
Q9Y5H5,ENSG00000204961,PCDHA9,NA,ENSMUSG00000103800,NA,1,0,0
Q9Y5H5,ENSG00000204961,PCDHA9,Q91Y13,ENSMUSG00000104318,Pcdha7,1,0,0
Q9H158,ENSG00000248383,PCDHAC1,NA,NA,NA,1,0,0
Q9Y5I4,ENSG00000243232,PCDHAC2,NA,ENSMUSG00000102697,NA,1,0,0
Q9Y5F3,ENSG00000171815,PCDHB1,NA,ENSMUSG00000051663,NA,1,0,0
Q9UN67,ENSG00000120324,PCDHB10,Q91Y02,ENSMUSG00000048347,Pcdhb18,1,0,0
Q9Y5F2,ENSG00000197479,PCDHB11,NA,ENSMUSG00000043313,NA,1,0,0
Q9Y5F1,ENSG00000120328,PCDHB12,NA,ENSMUSG00000043313,NA,1,0,0
Q9Y5F0,ENSG00000187372,PCDHB13,NA,ENSMUSG00000047910,NA,1,0,0
Q9Y5E9,ENSG00000120327,PCDHB14,NA,ENSMUSG00000046191,NA,1,0,0
Q9Y5E8,ENSG00000113248,PCDHB15,NA,ENSMUSG00000073591,NA,1,0,0
Q9Y5E7,ENSG00000112852,PCDHB2,NA,NA,NA,1,0,0
Q9Y5E6,ENSG00000113205,PCDHB3,NA,ENSMUSG00000045498,NA,1,0,0
Q9Y5E5,ENSG00000081818,PCDHB4,NA,ENSMUSG00000045062,NA,1,0,0
Q9Y5E5,ENSG00000081818,PCDHB4,NA,ENSMUSG00000051242,NA,1,0,0
Q9Y5E5,ENSG00000081818,PCDHB4,NA,ENSMUSG00000063687,NA,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,NA,ENSMUSG00000043458,NA,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,NA,ENSMUSG00000045657,NA,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,NA,ENSMUSG00000045689,NA,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,Q91XZ2,ENSMUSG00000045876,Pcdhb8,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,NA,ENSMUSG00000051486,NA,1,0,0
Q9Y5E4,ENSG00000113209,PCDHB5,Q91XZ4,ENSMUSG00000051678,Pcdhb6,1,0,0
Q9Y5E3,ENSG00000113211,PCDHB6,NA,ENSMUSG00000047307,NA,1,0,0
Q9Y5E2,ENSG00000113212,PCDHB7,NA,ENSMUSG00000047033,NA,1,0,0
Q9UN66,ENSG00000120322,PCDHB8,NA,ENSMUSG00000047910,NA,1,0,0
Q9Y5E1,ENSG00000177839,PCDHB9,NA,NA,NA,1,0,0
Q9Y5H4,ENSG00000204956,PCDHGA1,NA,NA,NA,1,0,0
Q9Y5H3,ENSG00000253846,PCDHGA10,NA,NA,NA,1,0,0
Q9Y5H2,ENSG00000253873,PCDHGA11,NA,NA,NA,1,0,0
O60330,ENSG00000253159,PCDHGA12,NA,ENSMUSG00000102428,NA,1,0,0
Q9Y5H1,ENSG00000081853,PCDHGA2,NA,NA,NA,1,0,0
Q9Y5H0,ENSG00000254245,PCDHGA3,NA,ENSMUSG00000104346,NA,1,0,0
Q9Y5G8,ENSG00000253485,PCDHGA5,NA,ENSMUSG00000103567,NA,1,0,0
Q9Y5G7,ENSG00000253731,PCDHGA6,NA,NA,NA,1,0,0
Q9Y5G6,ENSG00000253537,PCDHGA7,NA,ENSMUSG00000103472,NA,1,0,0
Q9Y5G5,ENSG00000253767,PCDHGA8,NA,ENSMUSG00000103897,NA,1,0,0
Q9Y5G4,ENSG00000261934,PCDHGA9,NA,ENSMUSG00000102440,NA,1,0,0
Q9Y5G3,ENSG00000254221,PCDHGB1,NA,ENSMUSG00000103037,NA,1,0,0
Q9Y5G2,ENSG00000253910,PCDHGB2,NA,ENSMUSG00000102748,NA,1,0,0
Q9Y5G1,ENSG00000262209,PCDHGB3,NA,NA,NA,1,0,0
Q9UN71,ENSG00000253953,PCDHGB4,NA,ENSMUSG00000104063,NA,1,0,0
Q9Y5G0,ENSG00000276547,PCDHGB5,NA,ENSMUSG00000104063,NA,1,0,0
Q9Y5F9,ENSG00000253305,PCDHGB6,NA,ENSMUSG00000103088,NA,1,0,0
Q9Y5F8,ENSG00000254122,PCDHGB7,NA,NA,NA,1,0,0
Q9UN70,ENSG00000240184,PCDHGC3,NA,ENSMUSG00000102918,NA,1,0,0
Q9Y5F7,ENSG00000242419,PCDHGC4,NA,ENSMUSG00000023036,NA,1,0,0
Q9Y5F6,ENSG00000240764,PCDHGC5,NA,ENSMUSG00000102543,NA,1,0,0
Q9BQ51,ENSG00000197646,PDCD1LG2,Q9WUL5,ENSMUSG00000016498,Pdcd1lg2,1,0,0
Q9NRA1,ENSG00000145431,PDGFC SCDGF UNQ174/PRO200,Q8CI19,ENSMUSG00000028019,Pdgfc,1,0,0
P16234,ENSG00000134853,PDGFRA,P26618,ENSMUSG00000029231,Pdgfra,1,0,0
P09619,ENSG00000113721,PDGFRB,NA,ENSMUSG00000024620,NA,1,0,0
Q15084,ENSG00000143870,PDIA6 ERP5 P5 TXNDC7,NA,ENSMUSG00000020571,NA,1,0,0
Q96HC4,ENSG00000163110,PDLIM5 ENH L9,Q8CI51,ENSMUSG00000028273,Pdlim5,1,0,0
Q86YL7,ENSG00000162493,PDPN,Q62011,ENSMUSG00000028583,Pdpn,1,0,0
Q5VY43,ENSG00000187800,PEAR1,Q8VIK5,ENSMUSG00000028073,Pear1,1,0,0
Q96FX8,ENSG00000112378,PERP,Q9JK95,ENSMUSG00000019851,Perp,1,0,0
Q92508,ENSG00000103335,PIEZO1,NA,ENSMUSG00000014444,NA,1,0,0
Q96FE7,ENSG00000100100,PIK3IP1,Q7TMJ8,ENSMUSG00000034614,Pik3ip1,1,0,0
Q9UKJ1,ENSG00000085514,PILRA,Q2YFS3,ENSMUSG00000046245,Pilra,1,0,0
Q9UKJ1,ENSG00000085514,PILRA,Q2YFS1,ENSMUSG00000066682,Pilrb2,1,0,0
Q9UKJ1,ENSG00000085514,PILRA,Q2YFS2,ENSMUSG00000066684,Pilrb1,1,0,0
P11309,ENSG00000137193,PIM1,NA,ENSMUSG00000024014,NA,1,0,0
P98161,ENSG00000008710,PKD1,O08852,ENSMUSG00000032855,Pkd1,1,0,0
Q8TDX9,ENSG00000158683,PKD1L1,NA,ENSMUSG00000046634,NA,1,0,0
Q7Z443,ENSG00000277481,PKD1L3,Q2EG98,ENSMUSG00000048827,Pkd1l3,1,0,0
Q13563,ENSG00000118762,PKD2,O35245,ENSMUSG00000034462,Pkd2,1,0,0
Q9P0L9,ENSG00000107593,PKD2L1,A2A259,ENSMUSG00000037578,Pkd2l1,1,0,0
P08F94,ENSG00000170927,PKHD1,NA,ENSMUSG00000043760,NA,1,0,0
Q9NZ20,ENSG00000100078,PLA2G3,NA,ENSMUSG00000034579,NA,1,0,0
Q13018,ENSG00000153246,PLA2R1,Q62028,ENSMUSG00000054580,Pla2r1,1,0,0
Q03405,ENSG00000011422,PLAUR,P35456,ENSMUSG00000046223,Plaur,1,0,0
Q6P1J6,ENSG00000163803,PLB1,Q3TTY0,ENSMUSG00000029134,Plb1,1,0,0
Q9P212,ENSG00000138193,PLCE1 KIAA1516 PLCE PPLC,Q8K4S1,ENSMUSG00000024998,Plce1,1,0,0
O75038,ENSG00000276429,PLCH2 KIAA0450 PLCL4,NA,NA,NA,1,0,0
Q6UQ28,ENSG00000188771,PLET1,Q8VEN2,ENSMUSG00000032068,Plet1,1,0,0
Q9HBL7,ENSG00000107020,PLGRKT,Q9D3P8,ENSMUSG00000016495,Plgrkt,1,0,0
Q96Q06,ENSG00000167676,PLIN4 KIAA1881,O88492,ENSMUSG00000002831,Plin4,1,0,0
O15162,ENSG00000188313,PLSCR1,Q9JJ00,ENSMUSG00000032369,Plscr1,1,0,0
O15162,ENSG00000188313,PLSCR1,Q9DCW2,ENSMUSG00000032372,Plscr2,1,0,0
O15162,ENSG00000188313,PLSCR1,NA,ENSMUSG00000074139,NA,1,0,0
Q9BX97,ENSG00000130300,PLVAP,NA,ENSMUSG00000034845,NA,1,0,0
Q8IUK5,ENSG00000161381,PLXDC1,Q91ZV7,ENSMUSG00000017417,Plxdc1,1,0,0
Q9UIW2,ENSG00000114554,PLXNA1,P70206,ENSMUSG00000030084,Plxna1,1,0,0
O75051,ENSG00000076356,PLXNA2,P70207,ENSMUSG00000026640,Plxna2,1,0,0
P51805,ENSG00000130827,PLXNA3,P70208,ENSMUSG00000031398,Plxna3,1,0,0
Q9HCM2,ENSG00000221866,PLXNA4,Q80UG2,ENSMUSG00000029765,Plxna4,1,0,0
O43157,ENSG00000164050,PLXNB1,Q8CJH3,ENSMUSG00000053646,Plxnb1,1,0,0
O15031,ENSG00000196576,PLXNB2,B2RXS4,ENSMUSG00000036606,Plxnb2,1,0,0
Q9ULL4,ENSG00000198753,PLXNB3,Q9QY40,ENSMUSG00000031385,Plxnb3,1,0,0
Q9Y4D7,ENSG00000004399,PLXND1,Q3UH93,ENSMUSG00000030123,Plxnd1,1,0,0
Q01453,ENSG00000109099,PMP22,NA,ENSMUSG00000018217,NA,1,0,0
Q96AD5,ENSG00000177666,PNPLA2,Q8BJ56,ENSMUSG00000025509,Pnpla2,1,0,0
O00592,ENSG00000128567,PODXL,Q9R0M4,ENSMUSG00000025608,Podxl,1,0,0
Q9HBU9,ENSG00000121577,POPDC2,Q9ES82,ENSMUSG00000022803,Popdc2,1,0,0
O14494,ENSG00000067113,PPAP2A,Q61469,ENSMUSG00000021759,Plpp1,1,0,0
O14495,ENSG00000162407,PPAP2B,Q99JY8,ENSMUSG00000028517,Plpp3,1,0,0
Q6PFW1,ENSG00000168781,PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1,A2ARP1,ENSMUSG00000033526,Ppip5k1,1,0,0
O60437,ENSG00000118898,PPL KIAA0568,NA,ENSMUSG00000039457,NA,1,0,0
Q96I34,ENSG00000160972,PPP1R16A MYPT3,Q923M0,ENSMUSG00000033819,Ppp1r16a,1,0,0
Q08209,ENSG00000138814,PPP3CA CALNA CNA,P63328,ENSMUSG00000028161,Ppp3ca,1,0,0
P63098,ENSG00000221823,PPP3R1 CNA2 CNB,NA,NA,NA,1,0,0
P53041,ENSG00000011485,PPP5C PPP5,Q60676,ENSMUSG00000003099,Ppp5c,1,0,0
P78395,ENSG00000275013,PRAME MAPE OIP4,NA,NA,NA,1,0,0
P14222,ENSG00000180644,PRF1 PFP,P10820,ENSMUSG00000037202,Prf1,1,0,0
Q86XR5,ENSG00000175785,PRIMA1,NA,ENSMUSG00000041669,NA,1,0,0
Q15139,ENSG00000184304,PRKD1 PKD PKD1 PRKCM,Q62101,ENSMUSG00000002688,Prkd1,1,0,0
P49683,ENSG00000119973,PRLHR,Q6VMN6,ENSMUSG00000045052,Prlhr,1,0,0
Q9NR22,ENSG00000111218,PRMT8 HRMT1L3 HRMT1L4,Q6PAK3,ENSMUSG00000030350,Prmt8,1,0,0
Q9UKY0,ENSG00000171864,PRND,Q9QUG3,ENSMUSG00000027338,Prnd,1,0,0
Q9UKY0,ENSG00000171864,PRND,NA,ENSMUSG00000098754,NA,1,0,0
P04156,ENSG00000171867,PRNP,P04925,ENSMUSG00000079037,Prnp,1,0,0
Q8TCW9,ENSG00000169618,PROKR1,Q9JKL1,ENSMUSG00000049409,Prokr1,1,0,0
Q8NFJ6,ENSG00000101292,PROKR2,Q8K458,ENSMUSG00000050558,Prokr2,1,0,0
O43490,ENSG00000007062,PROM1,NA,ENSMUSG00000029086,NA,1,0,0
Q8N271,ENSG00000155066,PROM2,Q3UUY6,ENSMUSG00000027376,Prom2,1,0,0
Q8TB68,ENSG00000131188,PRR7,Q3V0I2,ENSMUSG00000034686,Prr7,1,0,0
Q99946,ENSG00000227122,PRRT1,NA,NA,NA,1,0,0
Q7Z6L0,ENSG00000167371,PRRT2,E9PUL5,ENSMUSG00000045114,Prrt2,1,0,0
Q9Y6M0,ENSG00000007038,PRSS21,Q9JHJ7,ENSMUSG00000024116,Prss21,1,0,0
Q16651,ENSG00000052344,PRSS8,NA,ENSMUSG00000030800,NA,1,0,0
O43653,ENSG00000167653,PSCA,NA,ENSMUSG00000022598,NA,1,0,0
A5PKW4,ENSG00000059915,PSD EFA6 KIAA2011 PSD1 TYL,Q5DTT2,ENSMUSG00000037126,Psd,1,0,0
Q9NYI0,ENSG00000156011,PSD3 EFA6R HCA67 KIAA0942,Q2PFD7,ENSMUSG00000030465,Psd3,1,0,0
Q8NDX1,ENSG00000125637,PSD4 EFA6B TIC,Q8BLR5,ENSMUSG00000026979,Psd4,1,0,0
P49768,ENSG00000080815,PSEN1,P49769,ENSMUSG00000019969,Psen1,1,0,0
P11801,ENSG00000159792,PSKH1,Q91YA2,ENSMUSG00000048310,Pskh1,1,0,0
P25105,ENSG00000169403,PTAFR,Q62035,ENSMUSG00000056529,Ptafr,1,0,0
Q96NR3,ENSG00000165186,PTCHD1,Q14B62,ENSMUSG00000041552,Ptchd1,1,0,0
Q13258,ENSG00000168229,PTGDR,P70263,ENSMUSG00000071489,Ptgdr,1,0,0
Q9Y5Y4,ENSG00000183134,PTGDR2,Q9Z2J6,ENSMUSG00000034117,Ptgdr2,1,0,0
P34995,ENSG00000160951,PTGER1,P35375,ENSMUSG00000019464,Ptger1,1,0,0
P43116,ENSG00000125384,PTGER2,Q62053,ENSMUSG00000037759,Ptger2,1,0,0
P43115,ENSG00000050628,PTGER3,NA,ENSMUSG00000040016,NA,1,0,0
P35408,ENSG00000171522,PTGER4,P32240,ENSMUSG00000039942,Ptger4,1,0,0
P43088,ENSG00000122420,PTGFR,P43117,ENSMUSG00000028036,Ptgfr,1,0,0
P43119,ENSG00000160013,PTGIR,P43252,ENSMUSG00000043017,Ptgir,1,0,0
Q03431,ENSG00000160801,PTH1R,P41593,ENSMUSG00000032492,Pth1r,1,0,0
P49190,ENSG00000144407,PTH2R,Q91V95,ENSMUSG00000025946,Pth2r,1,0,0
Q86YD1,ENSG00000104960,PTOV1 ACID2 PP642 UNQ6127/PRO20092,Q91VU8,ENSMUSG00000038502,Ptov1,1,0,0
P17706,ENSG00000175354,PTPN2 PTPT,Q06180,ENSMUSG00000024539,Ptpn2,1,0,0
P23469,ENSG00000132334,PTPRE,P49446,ENSMUSG00000041836,Ptpre,1,0,0
Q12913,ENSG00000149177,PTPRJ,NA,ENSMUSG00000025314,NA,1,0,0
Q15262,ENSG00000152894,PTPRK,P35822,ENSMUSG00000019889,Ptprk,1,0,0
Q16849,ENSG00000054356,PTPRN,NA,ENSMUSG00000026204,NA,1,0,0
Q15256,ENSG00000153233,PTPRR,Q62132,ENSMUSG00000020151,Ptprr,1,0,0
Q92729,ENSG00000060656,PTPRU,B1AUH1,ENSMUSG00000028909,Ptpru,1,0,0
P23471,ENSG00000106278,PTPRZ1,B9EKR1,ENSMUSG00000068748,Ptprz1,1,0,0
Q6NZI2,ENSG00000177469,PTRF FKSG13,O54724,ENSMUSG00000004044,Ptrf,1,0,0
P15151,ENSG00000073008,PVR,NA,NA,NA,1,0,0
Q6DKI7,ENSG00000213413,PVRIG,NA,NA,NA,1,0,0
Q15223,ENSG00000110400,PVRL1,Q9JKF6,ENSMUSG00000032012,Nectin1,1,0,0
Q92692,ENSG00000130202,PVRL2,P32507,ENSMUSG00000062300,Nectin2,1,0,0
Q9NQS3,ENSG00000177707,PVRL3,Q9JLB9,ENSMUSG00000022656,Nectin3,1,0,0
Q96NY8,ENSG00000143217,PVRL4,Q8R007,ENSMUSG00000006411,Nectin4,1,0,0
Q96P65,ENSG00000186867,QRFPR,NA,ENSMUSG00000029917,NA,1,0,0
Q6ZRP7,ENSG00000165661,QSOX2,Q3TMX7,ENSMUSG00000036327,Qsox2,1,0,0
Q9UI14,ENSG00000105404,RABAC1 PRA1 PRAF1,Q9Z0S9,ENSMUSG00000003380,Rabac1,1,0,0
P63244,ENSG00000204628,RACK1 GNB2L1 HLC7 PIG21,P68040,ENSMUSG00000020372,Rack1,0,0,1
Q6H3X3,ENSG00000203722,RAET1G,NA,NA,NA,1,0,0
Q5VY80,ENSG00000155918,RAET1L,NA,NA,NA,1,0,0
O60896,ENSG00000122679,RAMP3,Q9WUP1,ENSMUSG00000041046,Ramp3,1,0,0
Q9H1K0,ENSG00000131381,RBSN ZFYVE20,Q80Y56,ENSMUSG00000014550,Rbsn,1,0,0
O95980,ENSG00000122707,RECK,Q9Z0J1,ENSMUSG00000028476,Reck,1,0,0
Q8IUW5,ENSG00000181826,RELL1,Q8K2J7,ENSMUSG00000047881,Rell1,1,0,0
Q8NC24,ENSG00000164620,RELL2 C5orf16 UNQ9423/PRO34565,Q8BRJ3,ENSMUSG00000044024,Rell2,1,0,0
Q969Z4,ENSG00000054967,RELT,Q8BX43,ENSMUSG00000008318,Relt,1,0,0
P07949,ENSG00000165731,RET,P35546,ENSMUSG00000030110,Ret,1,0,0
Q14699,ENSG00000131378,RFTN1 KIAA0084 MIG2,Q6A0D4,ENSMUSG00000039316,Rftn1,1,0,0
Q52LD8,ENSG00000162944,RFTN2 C2orf11,Q8CHX7,ENSMUSG00000025978,Rftn2,1,0,0
Q96B86,ENSG00000182175,RGMA,Q6PCX7,ENSMUSG00000070509,Rgma,1,0,0
Q6NW40,ENSG00000174136,RGMB,Q7TQ33,ENSMUSG00000048027,Rgmb,1,0,0
O43566,ENSG00000169220,RGS14,P97492,ENSMUSG00000052087,Rgs14,1,0,0
P41220,ENSG00000116741,RGS2 G0S8 GIG31,O08849,ENSMUSG00000026360,Rgs2,1,0,0
Q6MZT1,ENSG00000186479,RGS7BP R7BP,Q8BQP9,ENSMUSG00000021719,Rgs7bp,1,0,0
Q6PJF5,ENSG00000129667,RHBDF2,Q80WQ6,ENSMUSG00000020806,Rhbdf2,1,0,0
Q9NX52,ENSG00000158315,RHBDL2,A2AGA4,ENSMUSG00000043333,Rhbdl2,1,0,0
Q9H310,ENSG00000132677,RHBG,NA,ENSMUSG00000103766,NA,1,0,0
Q9H310,ENSG00000132677,RHBG,Q8BUX5,ENSMUSG00000104445,Rhbg,1,0,0
Q9UBD6,ENSG00000140519,RHCG,Q9QXP0,ENSMUSG00000030549,Rhcg,1,0,0
P61586,ENSG00000067560,RHOA ARH12 ARHA RHO12,NA,ENSMUSG00000036463,NA,1,0,0
Q9NPQ8,ENSG00000177963,RIC8A,Q3TIR3,ENSMUSG00000025485,Ric8a,1,0,0
O15034,ENSG00000060709,RIMBP2 KIAA0318 RBP2,Q80U40,ENSMUSG00000029420,Rimbp2,1,0,0
P50876,ENSG00000151692,RNF144A KIAA0161 RNF144 UBCE7IP4,Q925F3,ENSMUSG00000020642,Rnf144a,1,0,0
Q68DV7,ENSG00000108375,RNF43,Q5NCP0,ENSMUSG00000034177,Rnf43,1,0,0
Q9Y6N7,ENSG00000169855,ROBO1,NA,ENSMUSG00000022883,NA,1,0,0
Q01974,ENSG00000169071,ROR2,Q9Z138,ENSMUSG00000021464,Ror2,1,0,0
P08922,ENSG00000047936,ROS1,Q78DX7,ENSMUSG00000019893,Ros1,1,0,0
O75695,ENSG00000102218,RP2,Q9EPK2,ENSMUSG00000060090,Rp2,1,0,0
Q16518,ENSG00000116745,RPE65,Q91ZQ5,ENSMUSG00000028174,Rpe65,1,0,0
P08865,ENSG00000168028,RPSA LAMBR LAMR1,P14206,ENSMUSG00000032518,Rpsa,1,0,0
Q92681,ENSG00000215695,RSC1A1,Q9ER99,ENSMUSG00000040715,Rsc1a1,1,0,0
Q92681,ENSG00000215695,RSC1A1,A2ADY9,ENSMUSG00000078515,Ddi2,1,0,0
Q92681,ENSG00000215695,RSC1A1,Q9ER99,ENSMUSG00000078515,Ddi2,1,0,0
Q9BZR6,ENSG00000040608,RTN4R,Q99PI8,ENSMUSG00000043811,Rtn4r,1,0,0
Q86UN2,ENSG00000185924,RTN4RL1,Q8K0S5,ENSMUSG00000045287,Rtn4rl1,1,0,0
Q86UN3,ENSG00000186907,RTN4RL2,Q7M6Z0,ENSMUSG00000050896,Rtn4rl2,1,0,0
Q9BVN2,ENSG00000160753,RUSC1 NESCA,Q8BG26,ENSMUSG00000041263,Rusc1,1,0,0
Q9HBX9,ENSG00000171509,RXFP1,Q6R6I7,ENSMUSG00000034009,Rxfp1,1,0,0
