"","protein_uniprot","ensembl","gene_name"
"9770","P30279","ENSG00000118971","CCND2"
"9772","O15374","ENSG00000168679","SLC16A4"
"9774","Q7M4L6","ENSG00000138606","SHF"
"9775","Q92935","ENSG00000158008","EXTL1"
"9776","P30711","ENSG00000277656","GSTT1"
"9778","Q9Y6N7","ENSG00000169855","ROBO1"
"9780","P06870","ENSG00000167748","KLK1"
"9782","Q9Y3L5","ENSG00000123728","RAP2C"
"9785","Q15075","ENSG00000102189","EEA1"
"9786","Q16653","ENSG00000234623","MOG"
"9787","Q16352","ENSG00000148798","INA"
"9788","Q2QD12","ENSG00000235376","RPEL1"
"9790","Q6UXE8","ENSG00000168903","BTNL3"
"9792","Q8NGU9","ENSG00000178015","GPR150"
"9795","A6NMN3","ENSG00000172538","FAM170B"
"9798","P30511","ENSG00000235220","HLA-F"
"9802","Q86X51","ENSG00000187690","CXorf67"
"9803","Q9UK97","ENSG00000112146","FBXO9"
"9807","O00562","ENSG00000110697","PITPNM1"
"9808","P22105","ENSG00000229353","TNXB"
"9809","Q96LB3","ENSG00000096872","IFT74"
"9810","E5RJM6","ENSG00000235098","ANKRD65"
"9811","Q1HG44","ENSG00000140274","DUOXA2"
"9812","P56381","ENSG00000124172","ATP5E"
"9813","Q8NFW5","ENSG00000197587","DMBX1"
"9814","O95816","ENSG00000112208","BAG2"
"9816","Q9Y224","ENSG00000087302","C14orf166"
"9818","O75131","ENSG00000085719","CPNE3"
"9819","Q7L2E3","ENSG00000132153","DHX30"
"9821","Q29960","ENSG00000237022","HLA-C"
"9822","P30510","ENSG00000237022","HLA-C"
"9823","P30499","ENSG00000237022","HLA-C"
"9825","P62380","ENSG00000028839","TBPL1"
"9826","Q96A99","ENSG00000251692","PTX4"
"9828","Q9HAT0","ENSG00000065371","ROPN1"
"9830","Q9NPE6","ENSG00000061656","SPAG4"
"9831","P53004","ENSG00000106605","BLVRA"
"9832","Q9H4A4","ENSG00000176393","RNPEP"
"9833","Q2I0M5","ENSG00000101282","RSPO4"
"9837","Q01658","ENSG00000117505","DR1"
"9839","P24385","ENSG00000110092","CCND1"
"9840","A0AVT1","ENSG00000033178","UBA6"
"9841","Q99706","ENSG00000275699","KIR2DL4"
"9842","Q49SQ1","ENSG00000214943","GPR33"
"9843","O60232","ENSG00000173465","SSSCA1"
"9844","Q9P0R6","ENSG00000100744","GSKIP"
"9847","Q9H9D4","ENSG00000175213","ZNF408"
"9851","Q8NHP6","ENSG00000130150","MOSPD2"
"9852","O14732","ENSG00000141401","IMPA2"
"9855","Q99748","ENSG00000171119","NRTN"
"9856","Q9NP72","ENSG00000099246","RAB18"
"9859","Q14191","ENSG00000165392","WRN"
"9860","Q9UKI2","ENSG00000163171","CDC42EP3"
"9861","Q9NTG1","ENSG00000130943","PKDREJ"
"9862","Q8IW00","ENSG00000165633","VSTM4"
"9864","Q8WXH5","ENSG00000180008","SOCS4"
"9865","Q8NHZ8","ENSG00000176386","CDC26"
"9868","P0CG33","ENSG00000140478","GOLGA6D"
"9870","Q00526","ENSG00000250506","CDK3"
"9872","O60507","ENSG00000169902","TPST1"
"9873","Q6PKX4","ENSG00000206052","DOK6"
"9874","Q9Y244","ENSG00000132963","POMP"
"9876","Q01860","ENSG00000235068","POU5F1"
"9877","Q8TD55","ENSG00000241839","PLEKHO2"
"9878","Q3LI66","ENSG00000186930","KRTAP6-2"
"9880","Q04828","ENSG00000187134","AKR1C1"
"9883","Q6UX65","ENSG00000156171","DRAM2"
"9884","Q15526","ENSG00000148290","SURF1"
"9887","Q9H1P6","ENSG00000124237","C20orf85"
"9888","Q9UBC3","ENSG00000088305","DNMT3B"
"9889","Q92542","ENSG00000162736","NCSTN"
"9890","Q9NTN3","ENSG00000116704","SLC35D1"
"9891","P54819","ENSG00000004455","AK2"
"9892","Q8WXW3","ENSG00000083535","PIBF1"
"9893","O15068","ENSG00000126217","MCF2L"
"9894","Q969W9","ENSG00000124225","PMEPA1"
"9897","O15243","ENSG00000213625","LEPROT"
"9899","P01031","ENSG00000106804","C5"
"9900","P16989","ENSG00000060138","YBX3"
"9902","O95182","ENSG00000267855","NDUFA7"
"9904","Q01543","ENSG00000151702","FLI1"
"9906","Q5VVY1","ENSG00000203740","METTL11B"
"9907","Q96KG9","ENSG00000142186","SCYL1"
"9910","Q9NYV9","ENSG00000212128","TAS2R13"
"9911","P59542","ENSG00000212124","TAS2R19"
"9912","Q6P5X7","ENSG00000165071","TMEM71"
"9916","P59538","ENSG00000256436","TAS2R31"
"9919","Q99424","ENSG00000168306","ACOX2"
"9920","Q9H6U6","ENSG00000141376","BCAS3"
"9921","Q9UL45","ENSG00000104164","BLOC1S6"
"9923","P42680","ENSG00000135605","TEC"
"9924","A6NC05","ENSG00000164241","C5orf63"
"9925","Q6P444","ENSG00000146410","MTFR2"
"9926","O60264","ENSG00000153147","SMARCA5"
"9927","O75023","ENSG00000273991","LILRB5"
"9929","P01906","ENSG00000237541","HLA-DQA2"
"9931","Q9Y5K3","ENSG00000102230","PCYT1B"
"9933","Q02878","ENSG00000089009","RPL6"
"9934","Q5JTW2","ENSG00000148019","CEP78"
"9935","O77932","ENSG00000225682","DXO"
"9936","Q9BQI5","ENSG00000118473","SGIP1"
"9937","Q9H190","ENSG00000125775","SDCBP2"
"9938","Q8N427","ENSG00000086288","NME8"
"9940","Q9H115","ENSG00000125814","NAPB"
"9942","P08621","ENSG00000104852","SNRNP70"
"9943","Q96LR7","ENSG00000150873","C2orf50"
"9944","O60888","ENSG00000112514","CUTA"
"9946","Q9NXB0","ENSG00000011143","MKS1"
"9951","P36537","ENSG00000109181","UGT2B10"
"9956","P17096","ENSG00000137309","HMGA1"
"9957","Q96AC1","ENSG00000073712","FERMT2"
"9958","P29622","ENSG00000100665","SERPINA4"
"9959","Q53GA4","ENSG00000274538","PHLDA2"
"9960","P17038","ENSG00000198521","ZNF43"
"9964","Q5TC63","ENSG00000139835","GRTP1"
"9965","Q17RD7","ENSG00000139973","SYT16"
"9966","Q8N5Z5","ENSG00000100379","KCTD17"
"9969","P05787","ENSG00000170421","KRT8"
"9970","P08069","ENSG00000140443","IGF1R"
"9971","Q6ZS27","ENSG00000182983","ZNF662"
"9976","P56555","ENSG00000184029","DSCR4"
"9978","P17301","ENSG00000164171","ITGA2"
"9980","Q15762","ENSG00000150637","CD226"
"9983","Q68E01","ENSG00000143624","INTS3"
"9984","Q9BY19","ENSG00000166959","MS4A8"
"9987","Q8N0X2","ENSG00000144451","SPAG16"
"9988","Q16842","ENSG00000157350","ST3GAL2"
"9990","Q9HD33","ENSG00000136522","MRPL47"
"9991","P14679","ENSG00000077498","TYR"
"9992","Q8N4B1","ENSG00000198324","FAM109A"
"9993","Q9NPH3","ENSG00000196083","IL1RAP"
"9994","E9PQX1","ENSG00000187066","TMEM262"
"9996","Q8IXQ5","ENSG00000122550","KLHL7"
"9999","Q15436","ENSG00000100934","SEC23A"
"10003","O94844","ENSG00000072422","RHOBTB1"
"10004","P36404","ENSG00000213465","ARL2"
"10005","Q9NQR7","ENSG00000267909","CCDC177"
"10006","P60880","ENSG00000132639","SNAP25"
"10008","P56705","ENSG00000162552","WNT4"
"10009","Q9UDY2","ENSG00000119139","TJP2"
"10010","Q9BSD7","ENSG00000135778","NTPCR"
"10013","Q9BYM8","ENSG00000125826","RBCK1"
"10016","Q96MX3","ENSG00000180035","ZNF48"
"10017","Q5SV97","ENSG00000187642","PERM1"
"10019","Q9H3H1","ENSG00000043514","TRIT1"
"10020","Q5HYR2","ENSG00000269502","DMRTC1"
"10021","Q99549","ENSG00000196199","MPHOSPH8"
"10023","P01374","ENSG00000226979","LTA"
"10025","Q96JK2","ENSG00000139990","DCAF5"
"10027","Q8NG08","ENSG00000127311","HELB"
"10028","Q6NSI4","ENSG00000147231","CXorf57"
"10029","Q8N8U3","ENSG00000179300","ZCCHC5"
"10030","Q969M2","ENSG00000135355","GJA10"
"10031","Q5GH77","ENSG00000172967","XKR3"
"10032","A6NHG4","ENSG00000275758","DDTL"
"10035","Q96HW7","ENSG00000149262","INTS4"
"10036","O15209","ENSG00000236104","ZBTB22"
"10041","Q9Y5E3","ENSG00000113211","PCDHB6"
"10043","O60512","ENSG00000158850","B4GALT3"
"10044","Q96GX1","ENSG00000168778","TCTN2"
"10045","Q9GZQ8","ENSG00000140941","MAP1LC3B"
"10047","A0A087WVF3","ENSG00000274419","TBC1D3D"
"10049","P57679","ENSG00000072840","EVC"
"10051","P0DMC3","ENSG00000248329","APELA"
"10052","Q9Y689","ENSG00000162980","ARL5A"
"10057","P51151","ENSG00000123595","RAB9A"
"10058","Q05940","ENSG00000165646","SLC18A2"
"10059","Q499Z4","ENSG00000171161","ZNF672"
"10062","Q9NSI5","ENSG00000183067","IGSF5"
"10063","Q9Y2H2","ENSG00000198825","INPP5F"
"10064","Q8NDF8","ENSG00000121274","PAPD5"
"10067","P08100","ENSG00000163914","RHO"
"10068","Q9NVV2","ENSG00000221916","C19orf73"
"10071","P42575","ENSG00000106144","CASP2"
"10073","P35638","ENSG00000175197","DDIT3"
"10074","Q96B42","ENSG00000151353","TMEM18"
"10075","Q8IYK2","ENSG00000160994","CCDC105"
"10076","Q6UWY2","ENSG00000185198","PRSS57"
"10077","Q8N3D4","ENSG00000173442","EHBP1L1"
"10078","P0CG29","ENSG00000277897","GSTT2"
"10080","Q8N6K0","ENSG00000153495","TEX29"
"10082","Q15057","ENSG00000114331","ACAP2"
"10083","Q9BZJ4","ENSG00000013306","SLC25A39"
"10084","P54259","ENSG00000111676","ATN1"
"10086","P28072","ENSG00000142507","PSMB6"
"10088","Q15560","ENSG00000171703","TCEA2"
"10090","O43776","ENSG00000134440","NARS"
"10092","P35548","ENSG00000120149","MSX2"
"10096","B9A064","ENSG00000254709","IGLL5"
"10097","P78357","ENSG00000108797","CNTNAP1"
"10099","Q9HA82","ENSG00000090661","CERS4"
"10100","Q8N6S4","ENSG00000118454","ANKRD13C"
"10102","Q68CZ2","ENSG00000136205","TNS3"
"10103","Q9BRH9","ENSG00000278062","ZNF251"
"10105","P47928","ENSG00000172201","ID4"
"10107","O14908","ENSG00000123159","GIPC1"
"10108","P13686","ENSG00000102575","ACP5"
"10109","Q8WUM0","ENSG00000069248","NUP133"
"10112","O95803","ENSG00000164100","NDST3"
"10113","P07360","ENSG00000176919","C8G"
"10115","Q15642","ENSG00000125733","TRIP10"
"10119","A8MW92","ENSG00000129292","PHF20L1"
"10120","O43663","ENSG00000198901","PRC1"
"10123","Q5XUX0","ENSG00000103264","FBXO31"
"10124","Q8NH60","ENSG00000205495","OR52J3"
"10125","Q9GZK4","ENSG00000229125","OR2H1"
"10126","P11465","ENSG00000242221","PSG2"
"10131","Q9Y6W3","ENSG00000131375","CAPN7"
"10134","Q8NGG6","ENSG00000170953","OR8B12"
"10135","Q2M1Z3","ENSG00000031081","ARHGAP31"
"10138","P21796","ENSG00000213585","VDAC1"
"10139","Q8NGG7","ENSG00000196119","OR8A1"
"10140","P31267","ENSG00000106006","HOXA6"
"10141","Q92793","ENSG00000005339","CREBBP"
"10142","Q9UNY5","ENSG00000167840","ZNF232"
"10143","Q92583","ENSG00000102970","CCL17"
"10146","Q9HC35","ENSG00000143924","EML4"
"10147","Q13510","ENSG00000104763","ASAH1"
"10150","Q53RY4","ENSG00000157992","KRTCAP3"
"10151","Q96ND8","ENSG00000198440","ZNF583"
"10152","Q96GT9","ENSG00000155622","XAGE2"
"10155","Q93033","ENSG00000134256","CD101"
"10157","Q1X8D7","ENSG00000159708","LRRC36"
"10159","Q86UG4","ENSG00000205359","SLCO6A1"
"10160","Q8NDC0","ENSG00000168175","MAPK1IP1L"
"10161","Q9H4I9","ENSG00000272835","SMDT1"
"10163","P60985","ENSG00000188508","KRTDAP"
"10165","P62805","ENSG00000276966","HIST1H4E"
"10167","P20839","ENSG00000106348","IMPDH1"
"10169","Q09FC8","ENSG00000170954","ZNF415"
"10171","Q9BSG0","ENSG00000135617","PRADC1"
"10172","Q6ZMZ0","ENSG00000116514","RNF19B"
"10173","Q9H7P6","ENSG00000196814","MVB12B"
"10174","O76070","ENSG00000173267","SNCG"
"10175","Q6ZSS7","ENSG00000151690","MFSD6"
"10176","Q8WV74","ENSG00000167799","NUDT8"
"10178","Q9C019","ENSG00000227147","TRIM15"
"10181","Q96RV3","ENSG00000100731","PCNX1"
"10184","Q9NR81","ENSG00000163947","ARHGEF3"
"10185","P51511","ENSG00000102996","MMP15"
"10187","Q8NFR3","ENSG00000196542","SPTSSB"
"10189","Q14376","ENSG00000117308","GALE"
"10192","Q9BWX1","ENSG00000010318","PHF7"
"10193","Q00005","ENSG00000156475","PPP2R2B"
"10194","Q8NGY6","ENSG00000188340","OR6N2"
"10196","Q69YH5","ENSG00000184661","CDCA2"
"10197","Q7Z5P4","ENSG00000170509","HSD17B13"
"10198","Q9P1U1","ENSG00000133627","ACTR3B"
"10199","Q7Z794","ENSG00000189182","KRT77"
"10200","O94855","ENSG00000150961","SEC24D"
"10201","Q96LA6","ENSG00000163534","FCRL1"
"10206","O14802","ENSG00000148606","POLR3A"
"10207","P51970","ENSG00000119421","NDUFA8"
"10210","Q8NFF2","ENSG00000140090","SLC24A4"
"10211","Q96RI8","ENSG00000146383","TAAR6"
"10212","Q5VU36","ENSG00000276581","SPATA31A5"
"10213","Q9Y4F1","ENSG00000152767","FARP1"
"10215","Q6UVY6","ENSG00000079931","MOXD1"
"10219","Q96M02","ENSG00000154493","C10orf90"
"10220","P08686","ENSG00000206338","CYP21A2"
"10222","A1KXE4","ENSG00000152102","FAM168B"
"10223","O15480","ENSG00000198798","MAGEB3"
"10224","Q6UXG3","ENSG00000161649","CD300LG"
"10227","O95900","ENSG00000167112","TRUB2"
"10228","Q8N7X0","ENSG00000118492","ADGB"
"10229","Q9UJ72","ENSG00000109511","ANXA10"
"10231","P49842","ENSG00000206342","STK19"
"10233","Q9H093","ENSG00000163545","NUAK2"
"10236","Q7Z4L0","ENSG00000187581","COX8C"
"10238","P51884","ENSG00000139329","LUM"
"10239","Q9P289","ENSG00000134602","STK26"
"10241","O43808","ENSG00000100372","SLC25A17"
"10242","P16422","ENSG00000119888","EPCAM"
"10243","Q9H082","ENSG00000172007","RAB33B"
"10245","P54829","ENSG00000110786","PTPN5"
"10246","Q96G23","ENSG00000143418","CERS2"
"10248","C9JBD0","ENSG00000240747","KRBOX1"
"10249","Q9Y5Y3","ENSG00000135973","GPR45"
"10250","P56378","ENSG00000156411","C14orf2"
"10251","O95750","ENSG00000162344","FGF19"
"10252","Q9BQ31","ENSG00000170745","KCNS3"
"10255","P68431","ENSG00000278272","HIST1H3C"
"10257","Q9NW64","ENSG00000086589","RBM22"
"10259","O43156","ENSG00000101407","TTI1"
"10260","Q7Z6J4","ENSG00000146192","FGD2"
"10262","Q6RI45","ENSG00000165288","BRWD3"
"10265","Q8NHP1","ENSG00000211454","AKR7L"
"10267","Q8TAC2","ENSG00000161677","JOSD2"
"10268","Q96GG9","ENSG00000043093","DCUN1D1"
"10270","Q9Y4H4","ENSG00000234508","GPSM3"
"10271","Q9GZN0","ENSG00000181656","GPR88"
"10272","P42766","ENSG00000136942","RPL35"
"10273","Q12988","ENSG00000169271","HSPB3"
"10277","Q27J81","ENSG00000203485","INF2"
"10278","Q7Z4F1","ENSG00000197324","LRP10"
"10279","Q9Y3P4","ENSG00000100263","RHBDD3"
"10280","Q9Y2T5","ENSG00000203737","GPR52"
"10284","Q86UD4","ENSG00000181894","ZNF329"
"10285","Q9Y334","ENSG00000234433","VWA7"
"10287","O15156","ENSG00000160685","ZBTB7B"
"10288","Q13501","ENSG00000161011","SQSTM1"
"10289","O14639","ENSG00000099204","ABLIM1"
"10291","Q99611","ENSG00000179918","SEPHS2"
"10292","Q9UJ99","ENSG00000149654","CDH22"
"10294","Q9Y5I4","ENSG00000243232","PCDHAC2"
"10298","Q9UHB6","ENSG00000050405","LIMA1"
"10300","A8MVA2","ENSG00000263263","KRTAP9-6"
"10301","P06340","ENSG00000230141","HLA-DOA"
"10302","P05093","ENSG00000148795","CYP17A1"
"10303","P07954","ENSG00000091483","FH"
"10304","Q9UGC6","ENSG00000091844","RGS17"
"10305","P78414","ENSG00000170549","IRX1"
"10306","P46781","ENSG00000170889","RPS9"
"10307","Q9HBU1","ENSG00000131668","BARX1"
"10310","Q9Y5S1","ENSG00000187688","TRPV2"
"10311","P28070","ENSG00000159377","PSMB4"
"10312","Q96GD0","ENSG00000241360","PDXP"
"10314","Q9HBT7","ENSG00000141040","ZNF287"
"10315","Q12792","ENSG00000151239","TWF1"
"10319","O00294","ENSG00000112041","TULP1"
"10320","P56199","ENSG00000213949","ITGA1"
"10321","Q96A65","ENSG00000131558","EXOC4"
"10323","O94921","ENSG00000058091","CDK14"
"10325","Q96RM1","ENSG00000244094","SPRR2F"
"10326","P55001","ENSG00000117122","MFAP2"
"10327","Q9UF12","ENSG00000250799","PRODH2"
"10329","Q8TBZ8","ENSG00000249709","ZNF564"
"10330","P0DN86","ENSG00000213030","CGB8"
"10332","Q9NP90","ENSG00000123570","RAB9B"
"10333","Q96CB8","ENSG00000138785","INTS12"
"10334","P14651","ENSG00000120093","HOXB3"
"10335","P25067","ENSG00000171812","COL8A2"
"10336","Q29718","ENSG00000206450","HLA-B"
"10337","P30498","ENSG00000206450","HLA-B"
"10338","Q29940","ENSG00000206450","HLA-B"
"10339","P30495","ENSG00000206450","HLA-B"
"10340","P30493","ENSG00000206450","HLA-B"
"10341","P30492","ENSG00000206450","HLA-B"
"10342","P30491","ENSG00000206450","HLA-B"
"10343","P18464","ENSG00000206450","HLA-B"
"10344","Q04826","ENSG00000206450","HLA-B"
"10345","P18463","ENSG00000206450","HLA-B"
"10346","P30685","ENSG00000206450","HLA-B"
"10347","P30466","ENSG00000206450","HLA-B"
"10349","Q9Y5K2","ENSG00000167749","KLK4"
"10351","Q5TEA6","ENSG00000101251","SEL1L2"
"10354","Q5VVJ2","ENSG00000162601","MYSM1"
"10355","P00492","ENSG00000165704","HPRT1"
"10356","Q9BSV6","ENSG00000278622","TSEN34"
"10357","Q8N6R0","ENSG00000010165","METTL13"
"10358","Q9NXI6","ENSG00000178828","RNF186"
"10359","Q53H82","ENSG00000147592","LACTB2"
"10361","P02778","ENSG00000169245","CXCL10"
"10362","Q96BZ8","ENSG00000105617","LENG1"
"10363","O43316","ENSG00000106331","PAX4"
"10364","Q96FX7","ENSG00000166166","TRMT61A"
"10365","Q6IQ19","ENSG00000154429","CCSAP"
"10367","Q6ZVH7","ENSG00000144488","ESPNL"
"10369","Q8N9N5","ENSG00000172530","BANP"
"10373","P59190","ENSG00000139998","RAB15"
"10376","Q96A83","ENSG00000160963","COL26A1"
"10377","Q9NZL4","ENSG00000133265","HSPBP1"
"10378","Q8N743","ENSG00000276196","KIR3DL3"
"10379","Q30201","ENSG00000010704","HFE"
"10380","P16870","ENSG00000109472","CPE"
"10381","Q9NRG4","ENSG00000143499","SMYD2"
"10384","A7XYQ1","ENSG00000112320","SOBP"
"10388","Q8TAM1","ENSG00000179941","BBS10"
"10390","Q70IA8","ENSG00000142961","MOB3C"
"10392","Q969H9","ENSG00000174325","DIRC1"
"10393","Q68EN5","ENSG00000196123","KIAA0895L"
"10395","Q92625","ENSG00000064999","ANKS1A"
"10397","Q9Y6I8","ENSG00000101417","PXMP4"
"10398","P01375","ENSG00000232810","TNF"
"10399","Q9BZC7","ENSG00000107331","ABCA2"
"10400","Q8N816","ENSG00000167920","TMEM99"
"10401","Q86YZ3","ENSG00000197915","HRNR"
"10402","Q9Y5F1","ENSG00000120328","PCDHB12"
"10404","Q9Y2Z9","ENSG00000119723","COQ6"
"10409","O95918","ENSG00000204657","OR2H2"
"10410","Q9NNW5","ENSG00000178252","WDR6"
"10411","O60518","ENSG00000137040","RANBP6"
"10412","Q8NAV1","ENSG00000134748","PRPF38A"
"10413","Q96H55","ENSG00000278259","MYO19"
"10415","Q86YD3","ENSG00000149582","TMEM25"
"10416","Q8NES8","ENSG00000180383","DEFB124"
"10417","P56385","ENSG00000169020","ATP5I"
"10419","Q7Z2F6","ENSG00000197302","ZNF720"
"10420","Q9Y3A4","ENSG00000189306","RRP7A"
"10421","Q9H2F9","ENSG00000166510","CCDC68"
"10424","P29728","ENSG00000111335","OAS2"
"10427","P01215","ENSG00000135346","CGA"
"10428","P02788","ENSG00000012223","LTF"
"10431","Q9NYG5","ENSG00000141552","ANAPC11"
"10433","Q3ZCQ8","ENSG00000105197","TIMM50"
"10434","Q9NZM4","ENSG00000063169","GLTSCR1"
"10436","Q5XKK7","ENSG00000178761","FAM219B"
"10438","Q8N413","ENSG00000162241","SLC25A45"
"10440","Q8N8G2","ENSG00000170162","VGLL2"
"10442","A6PVS8","ENSG00000162620","LRRIQ3"
"10443","Q15833","ENSG00000076944","STXBP2"
"10445","B7Z1M9","ENSG00000225556","C2CD4D"
"10446","Q8WXD9","ENSG00000167971","CASKIN1"
"10447","Q9NVN8","ENSG00000130119","GNL3L"
"10450","Q16878","ENSG00000129596","CDO1"
"10451","Q9H4Y5","ENSG00000065621","GSTO2"
"10452","P29084","ENSG00000197265","GTF2E2"
"10453","Q5SYC1","ENSG00000146352","CLVS2"
"10454","Q9NPP4","ENSG00000091106","NLRC4"
"10457","Q86SH2","ENSG00000182223","ZAR1"
"10458","Q9P2Y5","ENSG00000198382","UVRAG"
"10459","Q7Z4U5","ENSG00000185689","C6orf201"
"10461","Q96LJ8","ENSG00000162543","UBXN10"
"10462","Q09160","ENSG00000224320","HLA-A"
"10463","P30455","ENSG00000224320","HLA-A"
"10464","P05534","ENSG00000224320","HLA-A"
"10465","P30443","ENSG00000224320","HLA-A"
"10466","Q8N0U8","ENSG00000196715","VKORC1L1"
"10467","Q9UIK5","ENSG00000144339","TMEFF2"
"10468","C9JUS6","ENSG00000224420","ADM5"
"10470","Q8NFY4","ENSG00000137872","SEMA6D"
"10471","Q5SSJ5","ENSG00000127483","HP1BP3"
"10475","Q9ULI0","ENSG00000119778","ATAD2B"
"10476","O14529","ENSG00000111249","CUX2"
"10480","Q17R55","ENSG00000177558","FAM187B"
"10481","Q9NYM4","ENSG00000123901","GPR83"
"10484","Q9P2D7","ENSG00000114841","DNAH1"
"10487","Q8TE73","ENSG00000039139","DNAH5"
"10488","Q92564","ENSG00000109184","DCUN1D4"
"10491","Q9BZG2","ENSG00000142513","ACPT"
"10493","P53539","ENSG00000125740","FOSB"
"10494","O75783","ENSG00000103269","RHBDL1"
"10495","P08174","ENSG00000196352","CD55"
"10499","P50150","ENSG00000168243","GNG4"
"10502","Q9BRT9","ENSG00000147536","GINS4"
"10503","Q92537","ENSG00000100647","SUSD6"
"10504","Q8IYW2","ENSG00000171811","CFAP46"
"10505","Q13098","ENSG00000169727","GPS1"
"10507","Q8NDZ6","ENSG00000164180","TMEM161B"
"10509","Q05901","ENSG00000147432","CHRNB3"
"10510","Q9H0C8","ENSG00000132323","ILKAP"
"10511","O95758","ENSG00000119314","PTBP3"
"10512","O43240","ENSG00000129451","KLK10"
"10514","A6NLE4","ENSG00000185662","SMIM23"
"10515","Q6ZSI9","ENSG00000182472","CAPN12"
"10516","Q9UGM1","ENSG00000174343","CHRNA9"
"10521","Q9NR80","ENSG00000136002","ARHGEF4"
"10522","Q562R1","ENSG00000169067","ACTBL2"
"10523","Q9UP65","ENSG00000105499","PLA2G4C"
"10524","P43632","ENSG00000276154","KIR2DS4"
"10525","P24723","ENSG00000027075","PRKCH"
"10527","Q7Z7A3","ENSG00000142544","CTU1"
"10528","Q7L190","ENSG00000121570","DPPA4"
"10529","Q96LB4","ENSG00000151418","ATP6V1G3"
"10530","Q04900","ENSG00000135535","CD164"
"10531","O75056","ENSG00000162512","SDC3"
"10532","Q8WWR9","ENSG00000168333","C8orf22"
"10533","Q07283","ENSG00000159450","TCHH"
"10537","Q9ULW3","ENSG00000146109","ABT1"
"10541","Q13045","ENSG00000177731","FLII"
"10543","Q9HBT8","ENSG00000187607","ZNF286A"
"10545","Q99527","ENSG00000164850","GPER1"
"10547","Q9UJF2","ENSG00000075391","RASAL2"
"10549","Q5R387","ENSG00000187980","PLA2G2C"
"10550","Q86VR7","ENSG00000186806","VSIG10L"
"10552","Q9GZY6","ENSG00000086730","LAT2"
"10553","Q96NI8","ENSG00000171827","ZNF570"
"10554","Q6ZT52","ENSG00000183114","FAM43B"
"10556","P23083","ENSG00000282550","IGHV1-2"
"10557","Q6MZM9","ENSG00000187533","PRR27"
"10558","Q9Y6X9","ENSG00000133422","MORC2"
"10559","Q9Y2I8","ENSG00000047056","WDR37"
"10560","Q6ZR37","ENSG00000187510","PLEKHG7"
"10563","Q9HCG8","ENSG00000163510","CWC22"
"10564","Q96G28","ENSG00000163001","CFAP36"
"10565","Q6U841","ENSG00000144290","SLC4A10"
"10567","Q6WQI6","ENSG00000221932","HEPN1"
"10570","P50748","ENSG00000184445","KNTC1"
"10571","Q8NGM9","ENSG00000181518","OR8D4"
"10574","P78395","ENSG00000185686","PRAME"
"10576","O94823","ENSG00000118322","ATP10B"
"10577","Q8IYL2","ENSG00000155275","TRMT44"
"10578","Q9ULG1","ENSG00000128908","INO80"
"10580","P10147","ENSG00000274221","CCL3"
"10582","Q8NGN0","ENSG00000171014","OR4D5"
"10583","A6NL88","ENSG00000187902","SHISA7"
"10584","O00329","ENSG00000171608","PIK3CD"
"10589","Q96R08","ENSG00000172362","OR5B12"
"10590","P48146","ENSG00000125522","NPBWR2"
"10591","Q6UXD7","ENSG00000169026","MFSD7"
"10594","O15353","ENSG00000109101","FOXN1"
"10596","Q13885","ENSG00000137267","TUBB2A"
"10597","O75841","ENSG00000114638","UPK1B"
"10598","P05305","ENSG00000078401","EDN1"
"10599","Q14831","ENSG00000196277","GRM7"
"10600","P01374","ENSG00000230279","LTA"
"10601","Q13144","ENSG00000145191","EIF2B5"
"10602","P13866","ENSG00000100170","SLC5A1"
"10606","Q9BW71","ENSG00000149929","HIRIP3"
"10607","Q02078","ENSG00000068305","MEF2A"
"10609","Q6P995","ENSG00000144369","FAM171B"
"10610","Q9Y2B5","ENSG00000075399","VPS9D1"
"10611","Q9Y276","ENSG00000074582","BCS1L"
"10612","Q15742","ENSG00000166886","NAB2"
"10615","Q96A49","ENSG00000169895","SYAP1"
"10616","Q9BPW9","ENSG00000073737","DHRS9"
"10620","Q5JTD7","ENSG00000204052","LRRC73"
"10622","Q6UWR7","ENSG00000164303","ENPP6"
"10623","O00744","ENSG00000169884","WNT10B"
"10624","Q96SR6","ENSG00000161298","ZNF382"
"10627","P62158","ENSG00000143933","CALM2"
"10630","Q96BZ4","ENSG00000166428","PLD4"
"10631","Q6UX27","ENSG00000275962","VSTM1"
"10632","Q5T0B9","ENSG00000160094","ZNF362"
"10633","Q68CL5","ENSG00000134779","TPGS2"
"10634","Q495X7","ENSG00000176979","TRIM60"
"10635","Q9BQY4","ENSG00000131721","RHOXF2"
"10637","Q9HCM9","ENSG00000232839","TRIM39"
"10639","P10645","ENSG00000100604","CHGA"
"10640","Q7L5D6","ENSG00000239857","GET4"
"10641","Q7KZI7","ENSG00000072518","MARK2"
"10644","P34931","ENSG00000206383","HSPA1L"
"10646","P43308","ENSG00000163479","SSR2"
"10647","Q9HAE3","ENSG00000034239","EFCAB1"
"10648","Q9H116","ENSG00000125812","GZF1"
"10649","P06746","ENSG00000070501","POLB"
"10650","Q9BQ52","ENSG00000006744","ELAC2"
"10652","P49368","ENSG00000163468","CCT3"
"10654","Q15743","ENSG00000119714","GPR68"
"10655","P11532","ENSG00000198947","DMD"
"10656","Q3SXZ7","ENSG00000131044","TTLL9"
"10658","Q86SQ6","ENSG00000197177","ADGRA1"
"10660","Q8NC51","ENSG00000142864","SERBP1"
