target,target_id,target_gene_symbol,target_uniprot,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
A<sub>2A</sub> receptor,19,ADORA2A,P29274,,,,,,Human,ZM-241385,405,,,135651364,Antagonist,Antagonist,"",f,,"",pKi,9.1,,8.8,-,,,,=,"","","",9933143
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,adenosine,2844,,,135651426,Agonist,Agonist,"",t,,"",pKi,,5.29,,Ki,,5100,,=,"","","",14662005
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,adenosine,2844,,,135651426,Agonist,Agonist,"",t,,"",pKi,,4.82,,Ki,,15000,,=,"","","",15822182|7746802|14662005
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,BAY 60-6583,3289,,,178100330,Agonist,Agonist,"",f,,"",pKi,,6.48,,Ki,,330,,=,"","","",17632123
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,BAY 60-6583,3289,,,178100330,Agonist,Agonist,"",f,,"",pKi,8.52,,8,Ki,10,,3,=,"","","",17353435
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,binodenoson,5595,,,178102230,Agonist,Agonist,"",f,,"",pKi,,3.37,,Ki,,430000,,=,"","","",16518376
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,CGS 21680,375,,,135650083,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,Cl-IB-MECA,457,,,135650107,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,Cl-IB-MECA,457,,,135650107,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,GS9667,5593,,,178102228,Agonist,Agonist,"",f,,"",pKi,,4.3,,Ki,,50000,,>,"","","",19012505
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,HEMADO,5599,,,178102234,Agonist,Agonist,"",f,,"",pKi,,4.52,,Ki,,30000,,>,"","","",12109910|17126322
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRS3558,5601,,,178102236,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,N(6)-cyclohexyladenosine,423,,,135650675,Agonist,Agonist,"",f,,"",pKi,,3.8,,Ki,,160000,,=,"","","",6253037
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,NECA,377,,,135650706,Agonist,Agonist,"",f,,"",pKi,,5.72,,Ki,,1900,,=,"","","",
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,regadenoson,5596,,,178102231,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",16518376
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,(R)-PIA,414,,,135651557,Agonist,Agonist,"",f,,"",pKi,,4.72,,Ki,,19000,,=,"","","",8135856
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,TCPA,5590,,,178102225,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",9384502
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,2-chloroadenosine,372,,,135651395,Agonist,Full agonist,"",f,,"",pKi,5,,4.6,-,,,,=,"","","",10496952|11093773|6253037
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,2-hexynyl-NECA,373,,,135649703,Agonist,Full agonist,,f,,"",pKi,,6.6,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AB-NECA,434,,,135649876,Agonist,Full agonist,,f,,"",pKi,,4.7,,,,,,,,,,10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CCPA,374,,,135651453,Agonist,Full agonist,"",f,,"",pKi,4.7,,4.4,-,,,,=,"","","",10496952|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CGS 21680,375,,,135650083,Agonist,Full agonist,"",f,,"",pKi,5,,3.4,-,,,,=,"","","",10496952|11093773|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,cyclopentyladenosine,380,,,135650148,Agonist,Full agonist,"",f,,"",pKi,4.7,,4.5,-,,,,=,"","","",10496952|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,NECA,377,,,135650706,Agonist,Full agonist,"",f,,"",pKi,6.9,,5.7,-,,,,=,"","","",16219300|15267242|10496952|11266650|11093773|15194002|14662005
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,piclidenoson,422,,,135650362,Agonist,Full agonist,"",f,,"",pKi,4.9,,4.3,-,,,,=,"","","",10496952|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,(R)-PIA,414,,,135651557,Agonist,Full agonist,"",f,,"",pKi,5.5,,3.8,-,,,,=,"","","",16219300|10496952|11266650|11093773|6253037
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,(S)-PIA,415,,,135651063,Agonist,Full agonist,,f,,"",pKi,5.2,,4.2,,,,,,,,,16219300|10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,3-isobutyl-8-pyrrolidinoxanthine,447,,,135650407,Antagonist,Antagonist,,f,,"",pKi,,6.3,,,,,,,,,,11705449
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,alloxazine,456,,,135649917,Antagonist,Antagonist,,f,,"",pKi,6.3,,5.7,,,,,,,,,11266650|10624567
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS100,381,,,135649958,Antagonist,Antagonist,,f,,"",pKi,,8.2,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS101,437,,,135649959,Antagonist,Antagonist,,f,,"",pKi,,8.4,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS16,438,,,135649960,Antagonist,Antagonist,,f,,"",pKi,,7.7,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS70,382,,,135649961,Antagonist,Antagonist,,f,,"",pKi,,8.1,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS74,439,,,135649962,Antagonist,Antagonist,,f,,"",pKi,,7.6,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS94,440,,,135649963,Antagonist,Antagonist,,f,,"",pKi,,7.8,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS95,441,,,135649964,Antagonist,Antagonist,,f,,"",pKi,,7.7,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS96,442,,,135649965,Antagonist,Antagonist,,f,,"",pKi,,8,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,AS99,383,,,135649966,Antagonist,Antagonist,,f,,"",pKi,,8.4,,,,,,,,,,16219300
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,ATL802,5616,,,178102250,Antagonist,Antagonist,"",f,,"",pKi,,8.63,,Ki,,2.36,,=,"","","",10737749
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,ATL802,5616,,,178102250,Antagonist,Antagonist,"",f,,"",pKi,,8.07,,Ki,,8.58,,=,"","","",10737749
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,BW-A1433,443,,,135650042,Antagonist,Antagonist,,f,,"",pKi,,7.3,,,,,,,,,,10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,caffeine,407,,,135652675,Antagonist,Antagonist,"",f,t,"",pKi,4.98000001907349,,4.46999979019165,Ki,33800,,10400,=,"","","",19569717|12014951|18404493
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,caffeine,407,,,135652675,Antagonist,Antagonist,"",f,,"",pKi,,4.89,,Ki,,13000,,=,"","","",8135856
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,caffeine,407,,,135652675,Antagonist,Antagonist,"",f,,"",pKi,,4.52,,Ki,,30000,,=,"","","",8135856
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CGS 15943,384,,,135650082,Antagonist,Antagonist,"",f,f,"",pA2,,7.80000019073486,,-,,,,=,"","","",8937736
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,CGS 15943,384,,,135650082,Antagonist,Antagonist,"",f,,"",pKi,,8.04,,Ki,,9.07,,=,"","","",19141710
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CGS 15943,384,,,135650082,Antagonist,Antagonist,"",f,,"",pKi,8.1,,6,-,,,,=,"","","",9459566|9933143|11266650|15194002|10624567|19141710
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CPX,427,,,135650137,Antagonist,Antagonist,,f,,"",pKi,,7.3,,,,,,,,,,10496952|11266650
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,CSC,5609,,,178102243,Antagonist,Antagonist,"",f,,"",pKi,,5.09,,Ki,,8200,,=,"","","",
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,CVT-6883,5615,,,178102249,Antagonist,Antagonist,"",f,,"",pKi,,7.66,,Ki,,22,,=,"","","",18321039
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,DAX,444,,,135650162,Antagonist,Antagonist,,f,,"",pKi,,6.4,,,,,,,,,,11266650
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,DEPX,445,,,135650169,Antagonist,Antagonist,,f,,"",pKi,,7.9,,,,,,,,,,10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,derenofylline,3281,,,178100322,Antagonist,Antagonist,"",f,,"",pKi,,5.4,,Ki,,3981,,=,"","","",17558436
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,derenofylline,3281,,,178100322,Antagonist,Antagonist,"",f,,"",pKi,,6.3,,Ki,,501,,=,"","","",17558436
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,DPCPX,386,,,135650209,Antagonist,Antagonist,"",f,,"",pKi,7.3,,6.9,-,,,,=,"","","",16020631|15194002|16902942|12014951
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,DPCPX,386,,,135650209,Antagonist,Antagonist,"",f,,"",pKi,,7.06,,Ki,,86.2,,=,"","","",19141710
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,DPCPX,386,,,135650209,Antagonist,Antagonist,"",f,,"",pKi,6.73,,6.7,Ki,200,,186,=,"","","",12014951|12954362
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,FK-453,5606,,,178102240,Antagonist,Antagonist,"",f,,"",pKi,,6.01,,Ki,,980,,=,"","","",16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,I-ABOPX,446,,,135650361,Antagonist,Antagonist,,f,,"",pKi,,7.4,,,,,,,,,,10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,istradefylline,5608,,,178102242,Antagonist,Antagonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",21303899
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,KF26777,5618,,,178102252,Antagonist,Antagonist,"",f,,"",pKi,,6.21,,Ki,,620,,=,"","","",12063073
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,LAS38096,5617,,,178102251,Antagonist,Antagonist,"",f,,"",pKi,,7.77,,Ki,,17,,=,"","","",17469811|20137946
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,LUF5981,5607,,,178102241,Antagonist,Antagonist,"",f,,"",pKi,,6.52,,Ki,,300,,>,"","","",14663020
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRE 2029F20,390,,,135650630,Antagonist,Antagonist,"",f,,"",pKi,8.5,,8.26,-,,,,=,"","","",16219300|14998332
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRE 3008F20,459,,,135650631,Antagonist,Antagonist,"",f,,"",pKi,5.8,,5.7,-,,,,=,"","","",16219300|10779381|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRS1191,470,,,135650647,Antagonist,Antagonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRS1220,448,,,135650648,Antagonist,Antagonist,,f,,"",pKi,,6.5,,,,,,,,,,15194002
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRS1523,474,,,135650652,Antagonist,Antagonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,MRS1523,474,,,135650652,Antagonist,Antagonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",
A<sub>2B</sub> receptor,20,,,,,,,,Unknown,MRS1706,3287,,,178100328,Antagonist,Antagonist,"",f,,"",pKi,,8.86,,-,,,,=,"","","",10737749
A<sub>2B</sub> receptor,20,Adora2b,P29276,,,,,,Rat,MRS1754,449,,,135650653,Antagonist,Antagonist,"",f,,"",pKi,7.89,,7.78,Ki,16.6,,12.8,=,"","","",10737749|12954362
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MRS1754,449,,,135650653,Antagonist,Antagonist,"",f,f,"",pKi,,8.80000019073486,,Ki,,1.58000004291534,,=,"","","",11266650|10737749
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,MRS1754,449,,,135650653,Antagonist,Antagonist,"",f,,"",pKi,,8.47,,Ki,,3.39,,=,"","","",19141710
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,MSX-2,5610,,,178102244,Antagonist,Antagonist,"",f,,"",pKi,5.54,,5,Ki,10000,,2900,=,"","","",10669571|15696333
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,OSIP339391,450,,,135650781,Antagonist,Antagonist,,f,,"",pKi,,9.3,,,,,,,,,,15194002
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,pentoxifylline,7095,,,178103673,Antagonist,Antagonist,"",f,f,"",pKi,,5.28999996185303,,Ki,,5180,,=,"","","",12014951
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,preladenant,5614,,,178102248,Antagonist,Antagonist,"",f,,"",pKi,,6,,Ki,,1000,,>,"","","",18221214
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,PSB-0788,6561,,,178103175,Antagonist,Antagonist,"",f,,"",pKi,,9.4,,-,,,,=,"","","",19569717
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,PSB-10,5619,,,178102253,Antagonist,Antagonist,"",f,,"",pKi,,5.68,,Ki,,2100,,=,"","","",12139454
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,PSB-11,5620,,,178102254,Antagonist,Antagonist,"",f,,"",pKi,,5.68,,Ki,,2100,,=,"","","",12139454
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,PSB1115,3286,,,178100327,Antagonist,Antagonist,"",f,,"",pKi,,7.27,,Ki,,53.4,,=,"","","",11906291
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,PSB36,3285,,,178100326,Antagonist,Antagonist,"",f,,"",pKi,,6.73,,Ki,,187,,=,"","","",16458010
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,PSB603,3284,,,178100325,Antagonist,Antagonist,"",f,,"",pKi,,9.26,,Ki,,0.553,,=,"","","",19569717
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,PSB603,3284,,,178100325,Antagonist,Antagonist,"",f,,"",pKd,,9.39,,Kd,,0.403,,=,"","","",19569717
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,PSB603,3284,,,178100325,Antagonist,Antagonist,"",f,,"",pKd,,9.45,,Kd,,0.351,,=,"","","",19569717
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,rolofylline,5604,,,178102238,Antagonist,Antagonist,"",f,,"",pKi,,6.53,,Ki,,296,,=,"","","",17125264
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,SCH442416,3283,,,178100324,Antagonist,Antagonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,SCH 58261,403,,,135651030,Antagonist,Antagonist,"",f,,"",pKi,6.5,,6,-,,,,=,"","","",11093773|16518376
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,ST-1535,5613,,,178102247,Antagonist,Antagonist,"",f,,"",pKi,,6.45,,Ki,,352.3,,=,"","","",16250647
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>125</sup>I]ABOPX,452,,,135651101,Antagonist,Antagonist,,f,,"",pKd,,7.4,,,,,,,,,,10496952
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>3</sup>H]DPCPX,406,,,135651150,Antagonist,Antagonist,,f,,"",pKd,,7.4,,,,,,,,,,15194002
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>3</sup>H]MRS1754,453,,,135651182,Antagonist,Antagonist,"",f,,"",pKd,,9.8,,Kd,,0.158,,=,"","","",11266650
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>3</sup>H]OSIP339391,454,,,135651191,Antagonist,Antagonist,,f,,"",pKd,,9.8,,,,,,,,,,15194002
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>3</sup>H]PSB603,5728,,,178102354,Antagonist,Antagonist,"",f,,"",pKd,,9.4,,-,,,,=,"","","",19569717
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,[<sup>3</sup>H]PSB603,5728,,,178102354,Antagonist,Antagonist,"",f,,"",pKd,,9.5,,-,,,,=,"","","",19569717
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,[<sup>3</sup>H]ZM 241385,455,,,135651218,Antagonist,Antagonist,,f,,"",pKd,7.9,,6.5,,,,,,,,,11705449|15194002|10624567
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,theophylline,413,,,135651254,Antagonist,Antagonist,"",f,t,"",pKi,5.03999996185303,,4.13000011444092,Ki,74000,,9070,=,"","","",16219300|11705449|12014951|18404493
A<sub>2B</sub> receptor,20,Adora2b,Q60614,,,,,,Mouse,theophylline,413,,,135651254,Antagonist,Antagonist,"",f,,"",pKi,,5.25,,Ki,,5630,,=,"","","",19141710
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,tonapofylline,5605,,,178102239,Antagonist,Antagonist,"",f,,"",pKi,,7.05,,Ki,,90,,=,"","","",17125264
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,vipadenant,5612,,,178102246,Antagonist,Antagonist,"",f,,"",pKi,,7.2,,Ki,,63,,=,"","","",19072055
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,xanthine amine congener,404,,,135651329,Antagonist,Antagonist,"",f,f,"",pA2,,7.90000009536743,,-,,,,=,"","","",8937736
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,xanthine amine congener,404,,,135651329,Antagonist,Antagonist,"",f,,"",pKi,8.8,,6.9,-,,,,=,"","","",9459566|10496952|11266650|11093773|15194002|10624567
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,XCC,451,,,135651332,Antagonist,Antagonist,,f,,"",pKi,,7.3,,,,,,,,,,11266650
A<sub>2B</sub> receptor,20,ADORA2B,P29275,,,,,,Human,ZM-241385,405,,,135651364,Antagonist,Antagonist,,f,,"",pKi,8.2,,6.8,,,,,,,,,10496952|11266650|11093773|15194002
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,2-chloroadenosine,372,,,135651395,Agonist,Agonist,"",f,,"",pKi,,5.72,,Ki,,1890,,=,"","","",8022403
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,2'-Me-CCPA,5591,,,178102226,Agonist,Agonist,"",f,,"",pKi,,5.3,,Ki,,5000,,=,"","","",9572897
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,2-phenylethylyl-adenosine derivative,5600,,,178102235,Agonist,Agonist,"",f,,"",pKi,,9.36,,Ki,,0.44,,=,"","","",19839592
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,adenosine,2844,,,135651426,Agonist,Agonist,"",t,,"",pKi,,6.54,,Ki,,290,,=,"","","",15822182|7746802|14662005
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,adenosine,2844,,,135651426,Agonist,Agonist,"",t,,"",pKi,,5.19,,Ki,,6500,,=,"","","",14662005
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,apadenoson,3290,,,178100331,Agonist,Agonist,"",f,,"",pKi,,7.35,,Ki,,45,,=,"","","",16518376
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,BAY 60-6583,3289,,,178100330,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",17632123
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,binodenoson,5595,,,178102230,Agonist,Agonist,"",f,,"",pKi,,6.04,,Ki,,903,,=,"","","",16518376
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,CCPA,374,,,135651453,Agonist,Agonist,"",f,,"",pKi,,6.63,,Ki,,237,,=,"","","",
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,CGS 21680,375,,,135650083,Agonist,Agonist,"",f,,"",pKi,,6.23,,Ki,,584,,=,"","","",
A<sub>3</sub> receptor,21,Adora3,Q61618,,,,,,Mouse,Cl-IB-MECA,457,,,135650107,Agonist,Agonist,"",f,,"",pKi,,9.74,,Ki,,0.18,,=,"","","",
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,Cl-IB-MECA,457,,,135650107,Agonist,Agonist,"",f,,"",pKi,,9.48,,Ki,,0.33,,=,"","","",
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,"CP608,039",5598,,,178102233,Agonist,Agonist,"",f,,"",pKi,,8.24,,Ki,,5.8,,=,"","","",12919933
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,GS9667,5593,,,178102228,Agonist,Agonist,"",f,,"",pKi,,6,,Ki,,1000,,>,"","","",19012505
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,HEMADO,5599,,,178102234,Agonist,Agonist,"",f,,"",pKi,,8.96,,Ki,,1.1,,=,"","","",12109910|17126322
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,MRS3558,5601,,,178102236,Agonist,Agonist,"",f,,"",pKi,,9.54,,Ki,,0.29,,=,"","","",16518376
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,MRS3558,5601,,,178102236,Agonist,Agonist,"",f,,"",pKi,,9,,Ki,,1,,=,"","","",
A<sub>3</sub> receptor,21,Adora3,Q61618,,,,,,Mouse,MRS3558,5601,,,178102236,Agonist,Agonist,"",f,,"",pKi,,8.83,,Ki,,1.49,,=,"","","",
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,MRS5151,5622,,,178102256,Agonist,Agonist,"",f,,"",pKi,,8.62,,Ki,,2.38,,=,"","","",18424135
A<sub>3</sub> receptor,21,Adora3,Q61618,,,,,,Mouse,MRS5151,5622,,,178102256,Agonist,Agonist,"",f,,"",pKi,,7.61,,Ki,,24.4,,=,"","","",18424135
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,MRS5698,8421,,,252166631,Agonist,Agonist,"",f,f,"",pKi,,8.5,,-,,,,=,"","","",22559880
A<sub>3</sub> receptor,21,Adora3,P28647,,,,,,Rat,N(6)-cyclohexyladenosine,423,,,135650675,Agonist,Agonist,"",f,,"",pKi,,6.75,,Ki,,176,,=,"","","",8022403
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,N(6)-cyclohexyladenosine,423,,,135650675,Agonist,Agonist,"",f,,"",pKi,,5.99,,Ki,,1025,,=,"","","",8617970
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,regadenoson,5596,,,178102231,Agonist,Agonist,"",f,,"",pKi,,5,,Ki,,10000,,>,"","","",16518376
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,TCPA,5590,,,178102225,Agonist,Agonist,"",f,,"",pKi,,6.22,,Ki,,600,,=,"","","",12672250
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,2-hexynyl-NECA,373,,,135649703,Agonist,Full agonist,,f,,"",pKi,,8.6,,,,,,,,,,12109910
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,AB-MECA,416,,,135649875,Agonist,Full agonist,,f,,"",pKi,,7.7,,,,,,,,,,9459566|10779381
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,CCPA,374,,,135651453,Agonist,Full agonist,"",f,,"",pKi,,7.4,,-,,,,=,"","","",9459566|16518376
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,CGS 21680,375,,,135650083,Agonist,Full agonist,"",f,,"",pKi,7.2,,6,-,,,,=,"","","",15476669|9459566|10779381|15267242|16518376
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,Cl-IB-MECA,457,,,135650107,Agonist,Full agonist,"",f,,"",pKi,8.9,,8,-,,,,=,"","","",10731034|9364471|7932588
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,cyclopentyladenosine,380,,,135650148,Agonist,Full agonist,"",f,,"",pKi,7.4,,7,-,,,,=,"","","",8234299|15476669|9459566|16518376
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,I-ABA,458,,,135650360,Agonist,Full agonist,,f,,"",pKi,,8,,,,,,,,,,8234299
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,"(<i>R,S</i>)-PHPNECA",369,,,135650422,Agonist,Full agonist,,f,,"",pKi,,9.4,,,,,,,,,,12109910
A<sub>3</sub> receptor,21,ADORA3,P0DMS8,,,,,,Human,MPC-MECA,460,,,135650626,Agonist,Full agonist,,f,,"",pKi,,6.8,,,,,,,,,,10779381
