protein_uniprot,ensembl,gene_name
Q96CP7,ENSG00000160606,TLCD1
Q6PEY2,ENSG00000152086,TUBA3E
P59990,ENSG00000187175,KRTAP12-1
P60368,ENSG00000205445,KRTAP10-2
Q9H756,ENSG00000184434,LRRC19
O75446,ENSG00000164105,SAP30
Q7L5A8,ENSG00000103089,FA2H
P43631,ENSG00000277885,KIR2DS2
O75936,ENSG00000129151,BBOX1
Q9Y6I4,ENSG00000140455,USP3
Q76EJ3,ENSG00000130958,SLC35D2
P23083,ENSG00000211934,IGHV1-2
H3BV60,ENSG00000260001,TGFBR3L
Q8IXI2,ENSG00000126858,RHOT1
A6ND01,ENSG00000183560,IZUMO1R
Q70EK8,ENSG00000145390,USP53
Q9Y5B9,ENSG00000092201,SUPT16H
P19827,ENSG00000055957,ITIH1
Q9NP98,ENSG00000177791,MYOZ1
P61328,ENSG00000114279,FGF12
Q9Y5T4,ENSG00000120675,DNAJC15
Q9Y661,ENSG00000182601,HS3ST4
Q86WV5,ENSG00000257949,TEN1
P01579,ENSG00000111537,IFNG
Q9NWV8,ENSG00000105393,BABAM1
P62263,ENSG00000164587,RPS14
E9PI22,ENSG00000255251,PRR23D1
Q5JTN6,ENSG00000136918,WDR38
Q8TCU3,ENSG00000164893,SLC7A13
Q5RI15,ENSG00000203667,COX20
Q6DWJ6,ENSG00000180269,GPR139
Q15303,ENSG00000178568,ERBB4
Q13207,ENSG00000121068,TBX2
P08708,ENSG00000278229,RPS17
Q8IXB1,ENSG00000077232,DNAJC10
P50221,ENSG00000005102,MEOX1
O60765,ENSG00000169131,ZNF354A
Q9BZ95,ENSG00000147548,WHSC1L1
Q13557,ENSG00000145349,CAMK2D
Q8N5M1,ENSG00000171953,ATPAF2
P43630,ENSG00000278809,KIR3DL2
Q6ZUT1,ENSG00000150776,C11orf57
Q8TE59,ENSG00000145808,ADAMTS19
Q9UPX0,ENSG00000080854,IGSF9B
Q96IS3,ENSG00000173976,RAX2
Q8NEG0,ENSG00000180219,FAM71C
P06340,ENSG00000235744,HLA-DOA
P40425,ENSG00000236353,PBX2
Q00973,ENSG00000135454,B4GALNT1
Q8N9H8,ENSG00000187609,EXD3
Q07157,ENSG00000277401,TJP1
Q13495,ENSG00000013619,MAMLD1
O14682,ENSG00000171617,ENC1
Q8NDZ0,ENSG00000177324,BEND2
O60347,ENSG00000108239,TBC1D12
Q8TAP9,ENSG00000168303,MPLKIP
Q8NGK2,ENSG00000221996,OR52B4
Q5SXH7,ENSG00000148735,PLEKHS1
P20160,ENSG00000172232,AZU1
Q8TAB5,ENSG00000142686,C1orf216
Q8TBE0,ENSG00000140320,BAHD1
Q6P589,ENSG00000163154,TNFAIP8L2
Q8N3Y3,ENSG00000165905,LARGE2
O95620,ENSG00000105865,DUS4L
Q96PE1,ENSG00000020181,ADGRA2
Q6IMI6,ENSG00000196228,SULT1C3
Q6BCY4,ENSG00000166394,CYB5R2
Q6GTX8,ENSG00000167613,LAIR1
O14678,ENSG00000119688,ABCD4
P19237,ENSG00000159173,TNNI1
Q9Y6R9,ENSG00000104983,CCDC61
Q7Z6R9,ENSG00000008197,TFAP2D
Q14974,ENSG00000108424,KPNB1
Q6UXU6,ENSG00000167105,TMEM92
Q86WA6,ENSG00000137274,BPHL
Q8WVB6,ENSG00000127586,CHTF18
Q5T848,ENSG00000151025,GPR158
Q5T2R2,ENSG00000148459,PDSS1
P15336,ENSG00000115966,ATF2
Q9H579,ENSG00000101353,MROH8
Q92876,ENSG00000167755,KLK6
Q9P266,ENSG00000165757,KIAA1462
Q9Y4C2,ENSG00000198420,TCAF1
Q96PV0,ENSG00000227460,SYNGAP1
Q04760,ENSG00000124767,GLO1
Q9Y4X3,ENSG00000213927,CCL27
Q13219,ENSG00000182752,PAPPA
Q9C086,ENSG00000115274,INO80B
O60565,ENSG00000166923,GREM1
Q3SXY8,ENSG00000169379,ARL13B
Q12824,ENSG00000099956,SMARCB1
P48507,ENSG00000023909,GCLM
A6NLX3,ENSG00000183318,SPDYE4
Q8N6D2,ENSG00000180537,RNF182
Q02930,ENSG00000146592,CREB5
P19784,ENSG00000070770,CSNK2A2
B9A6J9,ENSG00000274512,TBC1D3L
Q7Z3B4,ENSG00000138750,NUP54
Q8N465,ENSG00000180902,D2HGDH
P16619,ENSG00000277336,CCL3L3
Q96MF7,ENSG00000156831,NSMCE2
Q16572,ENSG00000187714,SLC18A3
Q96NU0,ENSG00000154529,CNTNAP3B
Q15109,ENSG00000229058,AGER
Q9NQX5,ENSG00000107281,NPDC1
Q05BV3,ENSG00000165521,EML5
Q96S90,ENSG00000163155,LYSMD1
P56975,ENSG00000185737,NRG3
Q8TE82,ENSG00000125089,SH3TC1
O75955,ENSG00000206379,FLOT1
Q8TAU3,ENSG00000173480,ZNF417
P28360,ENSG00000163132,MSX1
Q9Y330,ENSG00000234196,ZBTB12
Q9NZD8,ENSG00000090487,SPG21
Q96JW4,ENSG00000136052,SLC41A2
Q9BWW4,ENSG00000157216,SSBP3
Q9NQ32,ENSG00000176029,C11orf16
P07498,ENSG00000171209,CSN3
Q96EN8,ENSG00000075643,MOCOS
Q6ZVC0,ENSG00000166924,NYAP1
Q63HR2,ENSG00000111077,TNS2
P26378,ENSG00000162374,ELAVL4
Q8NGQ4,ENSG00000180475,OR10Q1
Q5VZT2,ENSG00000204683,C10orf113
O75127,ENSG00000106246,PTCD1
Q96QU1,ENSG00000150275,PCDH15
O43364,ENSG00000105996,HOXA2
P55199,ENSG00000105656,ELL
P40306,ENSG00000205220,PSMB10
P13805,ENSG00000105048,TNNT1
O95630,ENSG00000124356,STAMBP
Q9BY10,ENSG00000119457,SLC46A2
Q13439,ENSG00000144674,GOLGA4
Q9H792,ENSG00000173517,PEAK1
Q9BUA6,ENSG00000106436,MYL10
Q7Z7J9,ENSG00000162545,CAMK2N1
P17936,ENSG00000146674,IGFBP3
P11137,ENSG00000078018,MAP2
Q9H322,ENSG00000177504,VCX2
Q7Z3K3,ENSG00000143442,POGZ
Q9NVA1,ENSG00000101019,UQCC1
P0DI82,ENSG00000256060,TRAPPC2B
Q8IY26,ENSG00000205808,PLPP6
Q9UJU2,ENSG00000138795,LEF1
O95925,ENSG00000249139,EPPIN-WFDC6
Q92629,ENSG00000170624,SGCD
Q15800,ENSG00000052802,MSMO1
Q8NH42,ENSG00000176253,OR4K13
Q5JNZ3,ENSG00000223687,ZNF311
Q9BV90,ENSG00000161981,SNRNP25
Q8NFJ5,ENSG00000013588,GPRC5A
Q9GZL7,ENSG00000138442,WDR12
Q9NP73,ENSG00000101901,ALG13
Q5VXU1,ENSG00000188580,NKAIN2
Q86UQ0,ENSG00000164048,ZNF589
Q9H9L7,ENSG00000174574,AKIRIN1
Q9H175,ENSG00000110925,CSRNP2
A6NHS7,ENSG00000205693,MANSC4
Q9UHD9,ENSG00000188021,UBQLN2
Q99895,ENSG00000162438,CTRC
Q92874,ENSG00000167968,DNASE1L2
Q5HY64,ENSG00000198173,FAM47C
P04843,ENSG00000163902,RPN1
Q8WWQ8,ENSG00000136011,STAB2
Q9P0G3,ENSG00000129437,KLK14
Q9BS91,ENSG00000138459,SLC35A5
O96019,ENSG00000136518,ACTL6A
Q96TA1,ENSG00000136830,FAM129B
O75807,ENSG00000087074,PPP1R15A
Q96MD7,ENSG00000155621,C9orf85
Q8IYB4,ENSG00000114757,PEX5L
Q9Y3U8,ENSG00000130255,RPL36
O75208,ENSG00000088682,COQ9
Q99466,ENSG00000234876,NOTCH4
P59942,ENSG00000228662,MCCD1
P17029,ENSG00000106261,ZKSCAN1
Q9BSA4,ENSG00000141540,TTYH2
P82675,ENSG00000144029,MRPS5
O95274,ENSG00000124466,LYPD3
Q96NS5,ENSG00000161664,ASB16
P49638,ENSG00000137561,TTPA
Q9H1D0,ENSG00000165125,TRPV6
Q5VXD3,ENSG00000203943,SAMD13
Q99217,ENSG00000125363,AMELX
Q9HBJ7,ENSG00000131864,USP29
O95670,ENSG00000230900,ATP6V1G2
Q9GZK7,ENSG00000230780,OR11A1
P59543,ENSG00000255837,TAS2R20
Q96AN5,ENSG00000161558,TMEM143
C9JJ37,ENSG00000222009,BTBD19
P12034,ENSG00000138675,FGF5
P35503,ENSG00000243135,UGT1A3
Q9Y5Z4,ENSG00000051620,HEBP2
P51587,ENSG00000139618,BRCA2
O15265,ENSG00000163635,ATXN7
Q9NQP4,ENSG00000101132,PFDN4
P50238,ENSG00000213145,CRIP1
P05114,ENSG00000205581,HMGN1
Q9H9A6,ENSG00000066557,LRRC40
P62070,ENSG00000133818,RRAS2
Q14534,ENSG00000104549,SQLE
Q99623,ENSG00000215021,PHB2
Q9H313,ENSG00000276537,TTYH1
Q99933,ENSG00000107262,BAG1
P01303,ENSG00000122585,NPY
A8MW99,ENSG00000269964,MEI4
Q58A45,ENSG00000152520,PAN3
Q9NXT0,ENSG00000083828,ZNF586
Q8NB49,ENSG00000101974,ATP11C
Q07352,ENSG00000185650,ZFP36L1
Q9HCN6,ENSG00000275633,GP6
Q13247,ENSG00000124193,SRSF6
Q6TGC4,ENSG00000276747,PADI6
Q96MN5,ENSG00000116205,TCEANC2
Q6ISS4,ENSG00000277335,LAIR2
Q8N8V4,ENSG00000175311,ANKS4B
Q8NBX0,ENSG00000143653,SCCPDH
Q9H5J4,ENSG00000170522,ELOVL6
O43508,ENSG00000239697,TNFSF12
Q8NBN7,ENSG00000276341,RDH13
O43451,ENSG00000257335,MGAM
Q14508,ENSG00000101443,WFDC2
O76000,ENSG00000204703,OR2B3
Q9ULJ6,ENSG00000108175,ZMIZ1
Q01628,ENSG00000142089,IFITM3
Q8IV33,ENSG00000185261,KIAA0825
P29972,ENSG00000240583,AQP1
Q92993,ENSG00000172977,KAT5
Q9NS40,ENSG00000184611,KCNH7
P59901,ENSG00000274185,LILRA4
Q63HM1,ENSG00000183077,AFMID
A6NIJ9,ENSG00000184954,OR6C70
Q9HCN6,ENSG00000278670,GP6
Q92956,ENSG00000157873,TNFRSF14
Q8WWX0,ENSG00000164122,ASB5
A6NDL8,ENSG00000205327,OR6C68
P61236,ENSG00000090238,YPEL3
Q9NZP2,ENSG00000179695,OR6C2
Q9UHL3,ENSG00000170074,FAM153A
Q9H6K5,ENSG00000183248,PRR36
Q9BRC7,ENSG00000115556,PLCD4
A6NC57,ENSG00000181626,ANKRD62
Q96SZ5,ENSG00000181915,ADO
P40425,ENSG00000206315,PBX2
Q8IXM2,ENSG00000258315,C17orf49
Q9UJK0,ENSG00000007520,TSR3
Q9H8W5,ENSG00000134253,TRIM45
Q9Y2V3,ENSG00000134438,RAX
Q6UWI4,ENSG00000180730,SHISA2
P41279,ENSG00000107968,MAP3K8
Q96T21,ENSG00000187742,SECISBP2
Q8NGE1,ENSG00000179626,OR6C4
O75822,ENSG00000104131,EIF3J
O75019,ENSG00000277398,LILRA1
P0CG08,ENSG00000188092,GPR89B
Q9NWZ5,ENSG00000198276,UCKL1
Q92963,ENSG00000143622,RIT1
Q9UGI6,ENSG00000143603,KCNN3
O15211,ENSG00000206282,RGL2
Q8IUC4,ENSG00000131941,RHPN2
P07437,ENSG00000227739,TUBB
Q9NX02,ENSG00000275843,NLRP2
Q9H1F0,ENSG00000180305,WFDC10A
Q9HCU4,ENSG00000143126,CELSR2
Q9H293,ENSG00000166090,IL25
Q9UPR6,ENSG00000105278,ZFR2
A8MYP8,ENSG00000177989,ODF3B
Q9P255,ENSG00000229676,ZNF492
P59536,ENSG00000221855,TAS2R41
Q6UXV1,ENSG00000161652,IZUMO2
Q08AI8,ENSG00000172478,C2orf54
Q0VAA5,ENSG00000240891,PLCXD2
A4FU01,ENSG00000014914,MTMR11
O60271,ENSG00000008294,SPAG9
B5ME19,ENSG00000205609,EIF3CL
Q9NX02,ENSG00000275796,NLRP2
P21980,ENSG00000198959,TGM2
P55008,ENSG00000234836,AIF1
O60478,ENSG00000077585,GPR137B
O15169,ENSG00000103126,AXIN1
Q8NE28,ENSG00000198870,STKLD1
Q9C075,ENSG00000108244,KRT23
P41212,ENSG00000139083,ETV6
P52823,ENSG00000159167,STC1
A6NP61,ENSG00000189167,ZAR1L
Q9BY21,ENSG00000138271,GPR87
Q9HCK0,ENSG00000171448,ZBTB26
Q9UKV3,ENSG00000100813,ACIN1
Q07325,ENSG00000138755,CXCL9
O43312,ENSG00000170873,MTSS1
Q9NWB1,ENSG00000078328,RBFOX1
Q16270,ENSG00000163453,IGFBP7
Q00887,ENSG00000183668,PSG9
Q8WY98,ENSG00000160055,TMEM234
P48995,ENSG00000144935,TRPC1
Q9Y3D8,ENSG00000085231,AK6
Q9Y485,ENSG00000172869,DMXL1
Q9UQ74,ENSG00000124467,PSG8
Q9NZK5,ENSG00000093072,CECR1
Q9Y2Y0,ENSG00000102931,ARL2BP
P13762,ENSG00000227357,HLA-DRB4
Q969M3,ENSG00000145817,YIPF5
Q9Y234,ENSG00000144182,LIPT1
Q9H2Q1,ENSG00000170647,TMEM133
Q13616,ENSG00000055130,CUL1
Q8WZ33,ENSG00000277400,AC145212.2
Q86YV9,ENSG00000166189,HPS6
Q9BYR6,ENSG00000212899,KRTAP3-3
Q8WXD0,ENSG00000133105,RXFP2
P09683,ENSG00000274473,SCT
Q8NGP9,ENSG00000172459,OR5AR1
P28370,ENSG00000102038,SMARCA1
O75886,ENSG00000115145,STAM2
Q53H54,ENSG00000183665,TRMT12
Q8IUH3,ENSG00000155636,RBM45
Q9NV35,ENSG00000136159,NUDT15
P39086,ENSG00000171189,GRIK1
P42658,ENSG00000130226,DPP6
Q9H939,ENSG00000152229,PSTPIP2
O43300,ENSG00000146006,LRRTM2
O76061,ENSG00000113739,STC2
O00159,ENSG00000197879,MYO1C
Q9UQ05,ENSG00000089558,KCNH4
P19235,ENSG00000187266,EPOR
Q8NG50,ENSG00000278023,RDM1
Q99519,ENSG00000234343,NEU1
Q9NPC2,ENSG00000169427,KCNK9
Q6ZUT9,ENSG00000170456,DENND5B
Q5JUW0,ENSG00000147121,KRBOX4
Q5D862,ENSG00000143520,FLG2
P62873,ENSG00000078369,GNB1
A6NHJ4,ENSG00000197385,ZNF860
P18505,ENSG00000163288,GABRB1
P68106,ENSG00000119782,FKBP1B
Q9BU40,ENSG00000101938,CHRDL1
Q9P243,ENSG00000066827,ZFAT
Q96KR4,ENSG00000185621,LMLN
P08697,ENSG00000276838,SERPINF2
Q6R6M4,ENSG00000223443,USP17L2
Q8TCF1,ENSG00000104231,ZFAND1
Q6PF18,ENSG00000139714,MORN3
Q9UKJ1,ENSG00000085514,PILRA
Q16762,ENSG00000128311,TST
P04083,ENSG00000135046,ANXA1
Q9HCN6,ENSG00000274050,GP6
Q13202,ENSG00000184545,DUSP8
Q5JT82,ENSG00000171872,KLF17
Q9Y6K5,ENSG00000111331,OAS3
Q8NEY4,ENSG00000143882,ATP6V1C2
Q9BZ72,ENSG00000090975,PITPNM2
O00192,ENSG00000099889,ARVCF
Q75N03,ENSG00000105879,CBLL1
Q8TCQ1,ENSG00000145416,Mar-01
O75795,ENSG00000197888,UGT2B17
Q9H2S5,ENSG00000237733,RNF39
P0C7H9,ENSG00000226430,USP17L7
Q16819,ENSG00000112818,MEP1A
Q8WTS1,ENSG00000011198,ABHD5
O95497,ENSG00000112299,VNN1
Q5SRR4,ENSG00000226404,LY6G5C
P28062,ENSG00000206298,PSMB8
Q96RK4,ENSG00000140463,BBS4
O15143,ENSG00000130429,ARPC1B
Q6PKG0,ENSG00000155506,LARP1
A6NDE8,ENSG00000224902,GAGE12H
Q5D0E6,ENSG00000178149,DALRD3
P0C7P3,ENSG00000236320,SLFN14
Q5T6X4,ENSG00000183807,FAM162B
Q7RTV2,ENSG00000182793,GSTA5
Q86XF7,ENSG00000176472,ZNF575
Q6UXT8,ENSG00000196711,FAM150A
P05538,ENSG00000226165,HLA-DQB2
Q01105,ENSG00000119335,SET
Q9Y467,ENSG00000165821,SALL2
Q6ZW76,ENSG00000168096,ANKS3
Q9NPA0,ENSG00000134153,EMC7
O15554,ENSG00000104783,KCNN4
Q9GZX3,ENSG00000183196,CHST6
Q9Y5G3,ENSG00000254221,PCDHGB1
Q9P2F6,ENSG00000137727,ARHGAP20
Q14507,ENSG00000181562,EDDM3A
Q8N531,ENSG00000182325,FBXL6
Q8N9I0,ENSG00000143858,SYT2
P26572,ENSG00000131446,MGAT1
P36915,ENSG00000204590,GNL1
O75177,ENSG00000184402,SS18L1
Q15438,ENSG00000108669,CYTH1
A2RU48,ENSG00000179256,SMCO3
O43708,ENSG00000100577,GSTZ1
Q8N2C3,ENSG00000166153,DEPDC4
Q24JQ0,ENSG00000134490,TMEM241
P35813,ENSG00000100614,PPM1A
P09923,ENSG00000163295,ALPI
Q8N4P2,ENSG00000196659,TTC30B
P28074,ENSG00000100804,PSMB5
Q3LI76,ENSG00000186970,KRTAP15-1
Q9Y639,ENSG00000156642,NPTN
Q69YI7,ENSG00000171169,NAIF1
Q8N123,ENSG00000147183,CPXCR1
Q2Y0W8,ENSG00000050438,SLC4A8
Q13285,ENSG00000136931,NR5A1
Q9BRK5,ENSG00000078808,SDF4
P00918,ENSG00000104267,CA2
Q9NR31,ENSG00000079332,SAR1A
Q5VT03,ENSG00000214562,NUTM2D
Q9BUM1,ENSG00000141349,G6PC3
O14929,ENSG00000128708,HAT1
P15056,ENSG00000157764,BRAF
Q9NV70,ENSG00000090989,EXOC1
Q9Y6H5,ENSG00000064692,SNCAIP
O14654,ENSG00000133124,IRS4
Q6ZRI6,ENSG00000167173,C15orf39
Q5JRK9,ENSG00000238269,PAGE2B
Q6PEY0,ENSG00000164411,GJB7
P12035,ENSG00000186442,KRT3
O00574,ENSG00000172215,CXCR6
P46695,ENSG00000237155,IER3
O75369,ENSG00000136068,FLNB
P50747,ENSG00000159267,HLCS
P62241,ENSG00000142937,RPS8
Q9UIG4,ENSG00000204538,PSORS1C2
O95363,ENSG00000145982,FARS2
Q5U5R9,ENSG00000165338,HECTD2
A6NJZ7,ENSG00000183246,RIMBP3C
P30988,ENSG00000004948,CALCR
P15172,ENSG00000129152,MYOD1
Q16557,ENSG00000221826,PSG3
P35236,ENSG00000143851,PTPN7
Q96FS4,ENSG00000213445,SIPA1
O14836,ENSG00000240505,TNFRSF13B
Q13686,ENSG00000100601,ALKBH1
Q8WUX2,ENSG00000143942,CHAC2
Q8IY42,ENSG00000154274,C4orf19
P68036,ENSG00000185651,UBE2L3
Q5T686,ENSG00000119986,AVPI1
Q6PIJ6,ENSG00000145868,FBXO38
P16615,ENSG00000174437,ATP2A2
O00338,ENSG00000198203,SULT1C2
P20719,ENSG00000106004,HOXA5
Q9NYZ3,ENSG00000075218,GTSE1
Q8NEE6,ENSG00000161040,FBXL13
Q86T82,ENSG00000135913,USP37
Q15637,ENSG00000168066,SF1
O15155,ENSG00000105829,BET1
P57059,ENSG00000142178,SIK1
O75365,ENSG00000275575,PTP4A3
P43694,ENSG00000136574,GATA4
Q6PIZ9,ENSG00000163519,TRAT1
Q17RW2,ENSG00000171502,COL24A1
P0DN24,ENSG00000225873,LINC00694
Q96Q80,ENSG00000099958,DERL3
Q9H078,ENSG00000162129,CLPB
Q9Y4C8,ENSG00000122965,RBM19
P0C7Q6,ENSG00000259224,SLC35G6
Q9H0U3,ENSG00000102158,MAGT1
Q9P2F5,ENSG00000173320,STOX2
Q9Y397,ENSG00000188706,ZDHHC9
Q49MG5,ENSG00000164114,MAP9
Q8IX30,ENSG00000146197,SCUBE3
P61960,ENSG00000120686,UFM1
P27487,ENSG00000197635,DPP4
P08582,ENSG00000163975,MELTF
Q96I45,ENSG00000244187,TMEM141
Q6ZMJ4,ENSG00000157368,IL34
Q16617,ENSG00000105374,NKG7
Q96AY4,ENSG00000100154,TTC28
Q9NYW3,ENSG00000274327,TAS2R7
P01011,ENSG00000196136,SERPINA3
Q8N9W8,ENSG00000172717,FAM71D
Q9UBJ2,ENSG00000173208,ABCD2
Q2KHT4,ENSG00000111305,GSG1
P40426,ENSG00000167081,PBX3
Q9NQZ7,ENSG00000198018,ENTPD7
Q96AG4,ENSG00000108829,LRRC59
A6NFD8,ENSG00000187821,HELT
Q8IWU6,ENSG00000137573,SULF1
Q8IVC4,ENSG00000171574,ZNF584
Q9NPH9,ENSG00000111536,IL26
Q7L2H7,ENSG00000149100,EIF3M
P62269,ENSG00000096150,RPS18
Q6P4R8,ENSG00000170322,NFRKB
P42574,ENSG00000164305,CASP3
P25440,ENSG00000235307,BRD2
Q9P2B7,ENSG00000164323,CFAP97
P0C7X1,ENSG00000277974,TBC1D3H
O00408,ENSG00000186642,PDE2A
O14559,ENSG00000004777,ARHGAP33
P57075,ENSG00000160185,UBASH3A
Q96RT8,ENSG00000275835,TUBGCP5
Q9BT78,ENSG00000138663,COPS4
Q96M95,ENSG00000161973,CCDC42
P28906,ENSG00000174059,CD34
Q9H1E1,ENSG00000165799,RNASE7
O95190,ENSG00000180304,OAZ2
O43474,ENSG00000136826,KLF4
Q8WYN0,ENSG00000101844,ATG4A
Q96PV0,ENSG00000197283,SYNGAP1
Q9BWH2,ENSG00000165775,FUNDC2
Q2M2Z5,ENSG00000088970,KIZ
Q96JG6,ENSG00000004766,VPS50
Q8NHY0,ENSG00000167080,B4GALNT2
Q8NA29,ENSG00000168389,MFSD2A
Q9NXS3,ENSG00000179454,KLHL28
P49006,ENSG00000175130,MARCKSL1
Q8NH50,ENSG00000181752,OR8K5
Q14524,ENSG00000183873,SCN5A
Q99697,ENSG00000164093,PITX2
A8MTY7,ENSG00000262221,KRTAP9-7
Q8WXE1,ENSG00000164053,ATRIP
O43399,ENSG00000101150,TPD52L2
P02814,ENSG00000171201,SMR3B
P21964,ENSG00000093010,COMT
Q8NGF3,ENSG00000197428,OR51D1
Q7Z304,ENSG00000165072,MAMDC2
Q9HBE1,ENSG00000100105,PATZ1
Q8IYB5,ENSG00000112305,SMAP1
P55773,ENSG00000274736,CCL23
O60281,ENSG00000188994,ZNF292
Q8WXI2,ENSG00000149970,CNKSR2
Q96TA2,ENSG00000136758,YME1L1
A6NHA9,ENSG00000185926,OR4C46
P04156,ENSG00000171867,PRNP
P06396,ENSG00000148180,GSN
Q14320,ENSG00000071859,FAM50A
Q66K64,ENSG00000132017,DCAF15
Q9UBC7,ENSG00000197487,GALP
P34903,ENSG00000011677,GABRA3
O95076,ENSG00000156150,ALX3
Q6ZW31,ENSG00000105137,SYDE1
P35462,ENSG00000151577,DRD3
P25311,ENSG00000160862,AZGP1
Q92535,ENSG00000135845,PIGC
Q86XZ4,ENSG00000123352,SPATS2
Q96AB6,ENSG00000275779,NTAN1
Q7Z403,ENSG00000141524,TMC6
Q86UE3,ENSG00000187187,ZNF546
Q99743,ENSG00000170485,NPAS2
O95868,ENSG00000226603,LY6G6D
Q9H2S1,ENSG00000080709,KCNN2
Q5T653,ENSG00000112651,MRPL2
Q15043,ENSG00000104635,SLC39A14
Q9BZV1,ENSG00000167671,UBXN6
Q12836,ENSG00000116996,ZP4
Q6UB99,ENSG00000167522,ANKRD11
Q86YD5,ENSG00000179241,LDLRAD3
P00325,ENSG00000196616,ADH1B
Q6ZU52,ENSG00000189367,KIAA0408
P59045,ENSG00000179873,NLRP11
Q3SXM5,ENSG00000103160,HSDL1
Q8WV22,ENSG00000169189,NSMCE1
Q17RN3,ENSG00000130244,FAM98C
Q9UNX3,ENSG00000037241,RPL26L1
P68363,ENSG00000123416,TUBA1B
O75394,ENSG00000243147,MRPL33
Q9C0F3,ENSG00000125945,ZNF436
Q09161,ENSG00000136937,NCBP1
Q01860,ENSG00000229094,POU5F1
Q6P3V2,ENSG00000196967,ZNF585A
O60645,ENSG00000180104,EXOC3
Q99797,ENSG00000027001,MIPEP
Q9UMR3,ENSG00000164532,TBX20
A2RUS2,ENSG00000105339,DENND3
Q9ULD8,ENSG00000135519,KCNH3
O43813,ENSG00000115365,LANCL1
Q5JRA6,ENSG00000154305,MIA3
P09917,ENSG00000275565,ALOX5
Q15700,ENSG00000150672,DLG2
P26599,ENSG00000011304,PTBP1
Q9P1W9,ENSG00000102096,PIM2
Q96EK7,ENSG00000275333,FAM120B
P86790,ENSG00000146574,CCZ1B
Q8NGQ1,ENSG00000172457,OR9G4
Q7L1Q6,ENSG00000082153,BZW1
Q9BX73,ENSG00000169490,TM2D2
Q8TF21,ENSG00000089847,ANKRD24
Q8NGF8,ENSG00000175619,OR4B1
Q96MB7,ENSG00000180423,HARBI1
Q9H4K7,ENSG00000101181,MTG2
Q96RI1,ENSG00000012504,NR1H4
Q9UL40,ENSG00000113761,ZNF346
Q4AC99,ENSG00000205126,ACCSL
Q15006,ENSG00000104412,EMC2
Q68DH5,ENSG00000164187,LMBRD2
Q9UI10,ENSG00000115211,EIF2B4
Q9UJC3,ENSG00000134709,HOOK1
Q6AI08,ENSG00000068097,HEATR6
Q8NBJ9,ENSG00000149577,SIDT2
P17693,ENSG00000237216,HLA-G
O43847,ENSG00000078618,NRDC
Q99640,ENSG00000127564,PKMYT1
Q99466,ENSG00000223355,NOTCH4
Q8NFD5,ENSG00000049618,ARID1B
Q8IV38,ENSG00000106524,ANKMY2
Q9H0Z9,ENSG00000132819,RBM38
O14830,ENSG00000156194,PPEF2
O75608,ENSG00000120992,LYPLA1
Q8NH80,ENSG00000197309,OR10D3
Q96EN9,ENSG00000006015,C19orf60
O95297,ENSG00000197965,MPZL1
P56589,ENSG00000034693,PEX3
Q08828,ENSG00000164742,ADCY1
Q6PEW0,ENSG00000103023,PRSS54
O95218,ENSG00000132485,ZRANB2
Q9UBX2,ENSG00000260596,DUX4
Q3KNW1,ENSG00000185669,SNAI3
Q8IVW1,ENSG00000228696,ARL17B
P01906,ENSG00000257473,HLA-DQA2
Q8WU76,ENSG00000184178,SCFD2
Q5VWM4,ENSG00000278021,PRAMEF8
Q13231,ENSG00000133063,CHIT1
Q9UH99,ENSG00000100242,SUN2
Q9NX57,ENSG00000139832,RAB20
Q01085,ENSG00000151923,TIAL1
Q5U4N7,ENSG00000204183,GDF5OS
Q92785,ENSG00000133884,DPF2
Q7Z417,ENSG00000108256,NUFIP2
P20020,ENSG00000070961,ATP2B1
P10321,ENSG00000204525,HLA-C
Q9Y5M6,ENSG00000262180,OCLM
Q9BV19,ENSG00000164008,C1orf50
O60826,ENSG00000101997,CCDC22
Q8IV76,ENSG00000166049,PASD1
Q8TEP8,ENSG00000101639,CEP192
P16471,ENSG00000113494,PRLR
P55327,ENSG00000076554,TPD52
Q6ZUT6,ENSG00000188549,C15orf52
Q9BQ87,ENSG00000092377,TBL1Y
Q9NRD0,ENSG00000164117,FBXO8
O75106,ENSG00000131480,AOC2
Q9HCJ6,ENSG00000171724,VAT1L
Q96M29,ENSG00000153060,TEKT5
Q96BM0,ENSG00000276880,IFI27L1
O15195,ENSG00000136059,VILL
Q8IUB9,ENSG00000184351,KRTAP19-1
Q5JNZ3,ENSG00000225351,ZNF311
Q14353,ENSG00000130005,GAMT
P43026,ENSG00000125965,GDF5
Q9NX95,ENSG00000147642,SYBU
P32119,ENSG00000167815,PRDX2
P49184,ENSG00000013563,DNASE1L1
O95881,ENSG00000117862,TXNDC12
Q9UBH0,ENSG00000136695,IL36RN
Q03989,ENSG00000196843,ARID5A
Q96P70,ENSG00000198700,IPO9
Q8N4C9,ENSG00000278505,C17orf78
Q5VW32,ENSG00000162819,BROX
O14713,ENSG00000119185,ITGB1BP1
Q99675,ENSG00000100532,CGRRF1
Q92985,ENSG00000276561,IRF7
O60841,ENSG00000158417,EIF5B
Q6NSJ2,ENSG00000176531,PHLDB3
Q0VGE8,ENSG00000180257,ZNF816
Q13621,ENSG00000074803,SLC12A1
Q9HAB3,ENSG00000185803,SLC52A2
Q16585,ENSG00000163069,SGCB
Q9NQG5,ENSG00000101413,RPRD1B
